emotion	text_id	generated_text	first_person_text	third_person_text
anger	215	people get under my skin. Like for example if an entitled customer shows up at my work and  demands to speak to my manager for a simple issue that I can resolve. This happens on almost a daily occurrence and it really makes me angry.	I felt anger when people get under my skin. Like for example if an entitled customer shows up at my work and  demands to speak to my manager for a simple issue that I can resolve. This happens on almost a daily occurrence and it really makes me angry.	The person feels anger when people get under their skin. For example, when an entitled customer shows up at their work and demands to speak to their manager for a simple issue that they can resolve, it happens on almost a daily occurrence and it really makes them angry.
anger	216	I was driving on the highway and someone cut me off and brake checked me, almost causing a car accident	I felt anger when I was driving on the highway and someone cut me off and brake checked me, almost causing a car accident	The person felt anger when they were driving on the highway and someone cut them off and brake checked them, almost causing a car accident.
anger	217	someone misunderstands me and takes it out of context	I felt anger when someone misunderstands me and takes it out of context	The person feels anger when someone misunderstands them and takes it out of context.
anger	218	a child called me a name behind my back after i had told him off due to his behaviour.	I felt anger when a child called me a name behind my back after i had told him off due to his behaviour.	The person felt anger when a child called him a name behind his back after he had told the child off due to his behaviour.
anger	219	I was driving home from work and an individual pulled out in front of me very abruptly, almost causing me to crash into them.	I felt anger when I was driving home from work and an individual pulled out in front of me very abruptly, almost causing me to crash into them.	The person felt anger when they were driving home from work and an individual pulled out in front of them very abruptly, almost causing them to crash into them.
anger	21	I went outside my house to find a dozen large boxes had been delivered by my father in law for a thousand canning jars that we didn't want.	I felt anger when I went outside my house to find a dozen large boxes had been delivered by my father in law for a thousand canning jars that we didn't want.	The person felt anger when they went outside their house to find a dozen large boxes had been delivered by their father-in-law for a thousand canning jars that they didn't want.
anger	22	A nurse in a hospital gave my mother too much insulin and then ran out of her supply the next day, telling my on the phone that we did not bring enough. They did not tell me about the overdose until later that day when I brought in extra.	I felt anger when a nurse in a hospital gave my mother too much insulin and then ran out of her supply the next day, telling my on the phone that we did not bring enough. They did not tell me about the overdose until later that day when I brought in extra.	The person felt anger when a nurse in a hospital gave their mother too much insulin and then ran out of her supply the next day, telling them on the phone that they did not bring enough. They did not tell them about the overdose until later that day when they brought in extra.
anger	23	the side of my car got sideswiped, leaving a lot of damage which cost a lot of money to repair which wasn't my fault.	I felt anger when the side of my car got sideswiped, leaving a lot of damage which cost a lot of money to repair which wasn't my fault.	The person felt anger when the side of their car got sideswiped, leaving a lot of damage that cost a lot of money to repair, which wasn't their fault.
anger	24	I had my facial reconstruction and was not given any pain meds afterwards due to them not believing that I couldn't swallow and being unwilling to give anything via IV.	I felt anger when I had my facial reconstruction and was not given any pain meds afterwards due to them not believing that I couldn't swallow and being unwilling to give anything via IV.	The person felt anger when they had their facial reconstruction and were not given any pain meds afterwards due to the medical staff not believing that they couldn't swallow and being unwilling to give anything via IV.
anger	25	I was too hot, I was unable to find the cable for my work monitor and my VPN log in was not working for work.	I felt anger when I was too hot, I was unable to find the cable for my work monitor and my VPN log in was not working for work.	The person felt anger when they were too hot, unable to find the cable for their work monitor, and their VPN log in was not working for work.
anger	26	A person close to me belittled my actions	I felt anger when a person close to me belittled my actions	The person felt anger when a person close to them belittled their actions.
anger	27	I realised that someone I trusted completely does not trust me to the same extent	I felt anger when I realised that someone I trusted completely does not trust me to the same extent	The person felt anger when they realised that someone they trusted completely did not trust them to the same extent.
anger	28	Someone did not do the shopping when they said they would.	I felt anger when someone did not do the shopping when they said they would.	The person felt anger when someone did not do the shopping when they said they would.
anger	29	When the women over the road don’t look after her animals	I felt anger when the women over the road don’t look after her animals	The person feels anger when the woman across the road fails to care for her animals.
anger	210	a granparent died	I felt anger when a granparent died	The person felt anger when a grandparent died.
anger	211	when my friend betrayed me	I felt anger when my friend betrayed me	The person felt anger when their friend betrayed them
