emotion	text_id	generated_text	first_person_text	third_person_text
boredom	235	I was in various horrible and boring classes throughout my business degree. More specifically, finance and math classes were almost tortuous. I remember struggling to stay awake most times.	I felt boredom when I was in various horrible and boring classes throughout my business degree. More specifically, finance and math classes were almost tortuous. I remember struggling to stay awake most times.	The person felt boredom when they were in various horrible and boring classes throughout their business degree. More specifically, finance and math classes were almost tortuous. They remember struggling to stay awake most times.
boredom	237	waiting for my luggage to arrive at the airport last night	I felt boredom when waiting for my luggage to arrive at the airport last night	The person felt boredom when waiting for their luggage to arrive at the airport last night
boredom	238	When I had to go to a 2 day conference for work.	I felt boredom when I had to go to a 2 day conference for work.	The person felt boredom when they had to go to a 2-day conference for work.
boredom	220	I get extremely bored at work. If fact that is the reason I signed up for prolific in the first place. I work in an office job and there isn't much work to do in the middle of the week. I try and cure the boredom by doing surveys, or just chatting with my co-workers, or friends on my phone.	I felt boredom when I get extremely bored at work. If fact that is the reason I signed up for prolific in the first place. I work in an office job and there isn't much work to do in the middle of the week. I try and cure the boredom by doing surveys, or just chatting with my co-workers, or friends on my phone.	The person feels boredom when they get extremely bored at work. In fact, that is the reason they signed up for Prolific in the first place. They work in an office job and there isn't much work to do in the middle of the week. They try to cure the boredom by doing surveys, or just chatting with their co-workers, or friends on their phone.
boredom	222	driving 2.5 hours home from Kingston to Toronto after visiting friends	I felt boredom when driving 2.5 hours home from Kingston to Toronto after visiting friends	The person felt boredom when driving 2.5 hours home from Kingston to Toronto after visiting friends.
boredom	224	waiting for a delayed flight at the airport	I felt boredom when waiting for a delayed flight at the airport	The person felt boredom when waiting for a delayed flight at the airport.
boredom	225	I was off work for the summer and no one else was too.	I felt boredom when I was off work for the summer and no one else was too.	The person felt boredom when they were off work for the summer and no one else was too.
boredom	226	I felt boredom today at work because there was nothing to do. There weren't many customers due to a traffic jam, there was no delivery and I had nobody to talk to.	I felt boredom today at work because there was nothing to do. There weren't many customers due to a traffic jam, there was no delivery and I had nobody to talk to.	The person felt boredom today at work because there was nothing to do. There weren't many customers due to a traffic jam, there was no delivery, and they had nobody to talk to.
boredom	227	I felt BOREDOM while sitting in a waiting room to see a doctor.	I felt BOREDOM while sitting in a waiting room to see a doctor.	The person felt boredom while sitting in a waiting room to see a doctor.
boredom	228	When I watched WandaVision, everyone said it was worth watching but it was just boring to me	I felt boredom when I watched WandaVision, everyone said it was worth watching but it was just boring to me	The person felt boredom when they watched WandaVision, despite everyone saying it was worth watching, as it was just boring to them.
boredom	229	I had to wait for a bus	I felt boredom when I had to wait for a bus	The person felt boredom when they had to wait for a bus.
