emotion	text_id	generated_text	first_person_text	third_person_text
disgust	253	i saw the recent news on England fans	I felt disgust when i saw the recent news on England fans	The person felt disgust when they saw the recent news on England fans.
disgust	254	I was very overweight, and saw myself on video	I felt disgust when I was very overweight, and saw myself on video	The person felt disgust when they were very overweight and saw themselves on video.
disgust	255	I found some rotten onions in my cupboard that were slimy and smelly and I had to clean it up	I felt disgust when I found some rotten onions in my cupboard that were slimy and smelly and I had to clean it up	The person felt disgust when they found some rotten onions in their cupboard that were slimy and smelly and they had to clean it up.
disgust	256	i got the strawberries out of the fridge and they had gone off, exploded and gone furry.	I felt disgust when i got the strawberries out of the fridge and they had gone off, exploded and gone furry.	The person felt disgust when they got the strawberries out of the fridge and they had gone off, exploded, and gone furry.
disgust	257	people are rude. There's no need for it, especially unprovoked. Some people in shops/out in public are just rude.	I felt disgust when people are rude. There's no need for it, especially unprovoked. Some people in shops/out in public are just rude.	The person feels disgust when people are rude. There is no need for it, especially when it's unprovoked. Some people in shops and out in public are just rude.
disgust	239	I heard a story on social media about a mother dumping her baby in a dumpster	I felt disgust when I heard a story on social media about a mother dumping her baby in a dumpster	The person felt disgust when they heard a story on social media about a mother dumping her baby in a dumpster
disgust	240	I felt disgust when I accidentally drank some expired chocolate milk, at first the sweetness masked the taste but the aftertaste and texture which had turned slimy made me feel ill	I felt disgust when I accidentally drank some expired chocolate milk, at first the sweetness masked the taste but the aftertaste and texture which had turned slimy made me feel ill	The person felt disgust when they accidentally drank some expired chocolate milk, at first the sweetness masked the taste but the aftertaste and texture, which had turned slimy, made them feel ill.
disgust	241	I saw someone pick their nose and eat it.	I felt disgust when I saw someone pick their nose and eat it.	The person felt disgust when they saw someone pick their nose and eat it.
disgust	242	A customer at my workplace was being racist.	I felt disgust when a customer at my workplace was being racist.	The person felt disgust when a customer at their workplace was being racist.
disgust	243	I saw someone being bullied at work	I felt disgust when I saw someone being bullied at work	The person felt disgust when they saw someone being bullied at work.
disgust	244	somebody spat on the ground in front of me today. It was disgusting and unnecessary, especially given I had done nothing to the man.	I felt disgust when somebody spat on the ground in front of me today. It was disgusting and unnecessary, especially given I had done nothing to the man.	The person felt disgust when somebody spat on the ground in front of them today. It was disgusting and unnecessary, especially given they had done nothing to the man.
disgust	245	I saw a drunk guy leaning against a wall in the toilets them his hands slid and went into the blocked urinal	I felt disgust when I saw a drunk guy leaning against a wall in the toilets them his hands slid and went into the blocked urinal	The person felt disgust when they saw a drunk guy leaning against a wall in the toilets, then his hands slid and went into the blocked urinal.
disgust	246	I see racism	I felt disgust when I see racism	The person feels disgust when they see racism.
disgust	247	When I had to clean up puke at my old job in a nightclub, it was vile and spread across the room more than it should have - on the floor and walls. No remorse from the person either.	I felt disgust when I had to clean up puke at my old job in a nightclub, it was vile and spread across the room more than it should have - on the floor and walls. No remorse from the person either.	The person felt disgust when they had to clean up puke at their old job in a nightclub, which was vile and spread across the room more than it should have - on the floor and walls. The person received no remorse from the one responsible either.
disgust	248	when someone used awful language	I felt disgust when someone used awful language	The person felt disgust when someone used awful language
disgust	249	someone at work did not do there job properly and didn't care that it impacted severely on other	I felt disgust when someone at work did not do there job properly and didn't care that it impacted severely on other	The person felt disgust when someone at work did not do their job properly and didn't care that it impacted severely on others.
