emotion	text_id	generated_text	first_person_text	third_person_text
fear	274	when my surf board was over my head and I couldn't get out of the water.	I felt fear when my surf board was over my head and I couldn't get out of the water.	The person felt fear when their surfboard was over their head and they couldn't get out of the water.
fear	275	my husband had covid a year ago with our infant. I didnt know if everything would be okay.	I felt fear when my husband had covid a year ago with our infant. I didnt know if everything would be okay.	The person felt fear when her husband had covid a year ago with their infant. She didn't know if everything would be okay.
fear	276	when I began working in the acute care unit of a hospital because I thought people would be dying and I wouldn't know how to handle it	I felt fear when I began working in the acute care unit of a hospital because I thought people would be dying and I wouldn't know how to handle it	The person felt fear when they began working in the acute care unit of a hospital because they thought people would be dying and they wouldn't know how to handle it.
fear	277	when applied for my management job role. The interview was intense as it was a big step up from being an advisor.	I felt fear when applied for my management job role. The interview was intense as it was a big step up from being an advisor.	The person felt fear when they applied for their management job role. The interview was intense as it was a big step up from being an advisor.
fear	259	A massive spider crawled over me when I was asleep in bed and woke up	I felt fear when a massive spider crawled over me when I was asleep in bed and woke up	The person felt fear when a massive spider crawled over them while they were asleep in bed and woke them up.
fear	260	We were struggling financially and my mom was an alcoholic. She had been drinking and decided that in order to earn money she’d go to the bar and offer prostitution services. She has had sexual trauma in the past, and I was terrified that this would break her. I was also afraid that she’d drink more and end up injured, dead, or in jail.	I felt fear when we were struggling financially and my mom was an alcoholic. She had been drinking and decided that in order to earn money she’d go to the bar and offer prostitution services. She has had sexual trauma in the past, and I was terrified that this would break her. I was also afraid that she’d drink more and end up injured, dead, or in jail.	The person was feeling fear when they were struggling financially and their mom was an alcoholic. Their mom had been drinking and decided that in order to earn money she would go to the bar and offer prostitution services. She had had sexual trauma in the past, and the person was terrified that this would break her. The person was also afraid that she would drink more and end up injured, dead, or in jail.
fear	261	A group of young men following me home.	I felt fear when a group of young men following me home.	The person felt fear when a group of young men followed them home.
fear	262	Someone tried to get into our house	I felt fear when someone tried to get into our house	The person felt fear when someone tried to get into their house.
fear	263	A car came towards mine on the outside of a bend and clipped my wing mirror	I felt fear when a car came towards mine on the outside of a bend and clipped my wing mirror	The person felt fear when a car came towards theirs on the outside of a bend and clipped their wing mirror.
fear	264	Someone was driving too fast.	I felt fear when someone was driving too fast.	The person felt fear when someone was driving too fast.
fear	265	I had my driving test	I felt fear when I had my driving test	The person felt fear when they had their driving test.
fear	266	Me and my family were almost robbed and attacked in the streets of spain by a random man.	I felt fear when me and my family were almost robbed and attacked in the streets of spain by a random man.	The person felt fear when they and their family were almost robbed and attacked in the streets of Spain by a random man.
fear	267	One night while alone at my father's house, I saw a dark figure staring into the living room in which I was sitting. The figure, which I assumed was a man, pressed its head against the glass and tried to open the front door. He jiggled it for a few seconds and tried to pull it open before simply staring at me and walking off.	I felt fear when one night while alone at my father's house, I saw a dark figure staring into the living room in which I was sitting. The figure, which I assumed was a man, pressed its head against the glass and tried to open the front door. He jiggled it for a few seconds and tried to pull it open before simply staring at me and walking off.	The person felt fear when one night, while alone at their father's house, they saw a dark figure staring into the living room in which they were sitting. The figure, which they assumed was a man, pressed its head against the glass and tried to open the front door. It jiggled it for a few seconds and tried to pull it open before simply staring at them and walking off.
fear	268	My home was invaded and I was briefly held at gunpoint but escaped	I felt fear when my home was invaded and I was briefly held at gunpoint but escaped	The person felt fear when their home was invaded and they were briefly held at gunpoint but escaped.
fear	269	a stranger swore in my face at the park and threatened me because I paused to take a photo of the lake	I felt fear when a stranger swore in my face at the park and threatened me because I paused to take a photo of the lake	The person felt fear when a stranger swore in his face at the park and threatened him because he paused to take a photo of the lake.
fear	270	I was going to have a colonoscopy for the first time	I felt fear when I was going to have a colonoscopy for the first time	The person felt fear when they were going to have a colonoscopy for the first time.
fear	271	when i was receiving my a-level grades	I felt fear when i was receiving my a-level grades	The person felt fear when they were receiving their A-level grades.
fear	272	when I worked my first shift on my own at my bar job.	I felt fear when I worked my first shift on my own at my bar job.	The person felt fear when they worked their first shift on their own at their bar job.
fear	3444	I felt fear when my large dog attacked my chihuahua because it was a very violent attack and my chihuahua was so small.	I felt fear when my large dog attacked my chihuahua because it was a very violent attack and my chihuahua was so small.	The person felt fear when their large dog attacked their chihuahua because it was a very violent attack and their chihuahua was so small.
fear	3446	I used to be afraid of theme park rides and I was forced to go on a rollercoaster	I felt fear when I used to be afraid of theme park rides and I was forced to go on a rollercoaster	The person felt fear when they used to be afraid of theme park rides and were forced to go on a rollercoaster.
fear	3448	we were in the covid-19 lockdown and my grandads nursing home had cases of covid-19	I felt fear when we were in the covid-19 lockdown and my grandads nursing home had cases of covid-19	The person felt fear when they were in the covid-19 lockdown and their grandad's nursing home had cases of covid-19
fear	3449	I stepped in front of an oncoming car when crossing the road	I felt fear when I stepped in front of an oncoming car when crossing the road	The person felt fear when they stepped in front of an oncoming car while crossing the road.
fear	3450	I lost control of my car whilst driving	I felt fear when I lost control of my car whilst driving	The person felt fear when they lost control of their car while driving.
fear	3451	my flight was cancelled and I was abroad alone.	I felt fear when my flight was cancelled and I was abroad alone.	The person felt fear when their flight was cancelled and they were abroad alone.
fear	3452	I was giving a presentation in front of my peers.	I felt fear when I was giving a presentation in front of my peers.	The person felt fear when they were giving a presentation in front of their peers.
fear	3453	When I got on a plane to go visit my family. The flight was 5 hours and I don’t like flying	I felt fear when I got on a plane to go visit my family. The flight was 5 hours and I don’t like flying	The person felt fear when they got on a plane to visit their family. The flight was 5 hours and they didn't like flying.
fear	3454	I felt fear when I realized that I'm travelling to NJ tomorrow and it is still facing the repercussions of the flood the other day, so I don't really know what I'm getting into. I'm also worried about socializing with friends and meeting up with friends given that Delta is still going on.	I felt fear when I realized that I'm travelling to NJ tomorrow and it is still facing the repercussions of the flood the other day, so I don't really know what I'm getting into. I'm also worried about socializing with friends and meeting up with friends given that Delta is still going on.	The person feels fear when realizing they are traveling to NJ tomorrow, which is still facing the repercussions of the flood the other day, and is unsure what they are getting into. They are also worried about socializing with friends and meeting up with friends given that Delta is still ongoing.
fear	3455	on a late night walk (4am) with 3 female friends. A shadowy figure appeared on the path ahead. I was fine, but the 3 of them got behind me and asked me to stand in front. I remember feeling fear once they did that, even though normally seeing other people on my late night/early morning walks never bothered me in the past	I felt fear when on a late night walk (4am) with 3 female friends. A shadowy figure appeared on the path ahead. I was fine, but the 3 of them got behind me and asked me to stand in front. I remember feeling fear once they did that, even though normally seeing other people on my late night/early morning walks never bothered me in the past	The person felt fear when on a late night walk at 4am with three female friends. A shadowy figure appeared on the path ahead. The person was fine, but the three friends got behind them and asked them to stand in front. They remember feeling fear once they did that, even though normally seeing other people on their late night/early morning walks never bothered them in the past.
fear	3457	I saw a bus accident deadly.	I felt fear when I saw a bus accident deadly.	The person felt fear when they saw a deadly bus accident.
fear	3458	I felt fear when I gave birth to my children	I felt fear when I gave birth to my children	The person felt fear when she gave birth to her children
fear	3459	i failed my test	I felt fear when i failed my test	The person felt fear when they failed their test.
fear	3460	I felt fear when I was driving to the gym and I was sitting in the left turning lane because cars kept coming and a car coming towards me decided they also wanted to turn left because there is only one turning lane in the centre for both directions of traffic and came inches from hitting my car head on. I had to swerve and almost hit a car to my right, if I hadn't been paying attention I probably wouldn't be here today.	I felt fear when I was driving to the gym and I was sitting in the left turning lane because cars kept coming and a car coming towards me decided they also wanted to turn left because there is only one turning lane in the centre for both directions of traffic and came inches from hitting my car head on. I had to swerve and almost hit a car to my right, if I hadn't been paying attention I probably wouldn't be here today.	The person felt fear when driving to the gym and sitting in the left turning lane, as cars kept coming and a car approaching from the opposite direction, also wanting to turn left, came inches from hitting their car head-on, since there is only one turning lane in the centre for both directions of traffic. They had to swerve and almost hit a car to their right; if they hadn't been paying attention, they probably wouldn't be alive today.
fear	3462	because I was being chased by older people through the park.	I felt fear because I was being chased by older people through the park.	The person felt fear when they were being chased by older people through the park.
fear	3463	I was coming out of a car park one evening, there was a car ahead of me on the road. A police car pulled up and blocked the car in front. Over the next 5 minutes I was sitting in the car witnessing the driver of the car in front (who was drunk) be arrested. The man was very large and it took 4 policemen to subdue and arrest him. There was no other exit to the car park so I just had to sit and hope he would not get aggressive in my direction.	I felt fear when I was coming out of a car park one evening, there was a car ahead of me on the road. A police car pulled up and blocked the car in front. Over the next 5 minutes I was sitting in the car witnessing the driver of the car in front (who was drunk) be arrested. The man was very large and it took 4 policemen to subdue and arrest him. There was no other exit to the car park so I just had to sit and hope he would not get aggressive in my direction.	The person is thinking about a situation where they felt fear when coming out of a car park one evening. There was a car ahead of them on the road. A police car pulled up and blocked the car in front. Over the next 5 minutes, they sat in their car, witnessing the driver of the car in front, who was drunk, being arrested. The man was very large and it took 4 policemen to subdue and arrest him. Since there was no other exit to the car park, they just had to sit and hope he would not get aggressive in their direction.
fear	3464	My wife has incurable cancer and has scan results every three months. I feel fear before the results.	I felt fear when my wife has incurable cancer and has scan results every three months. I feel fear before the results.	The person feels fear when his wife has incurable cancer and has scan results every three months. He feels fear before the results.
fear	3465	When I nearly crashed my car on the highway	I felt fear when I nearly crashed my car on the highway	The person felt fear when they nearly crashed their car on the highway.
fear	3466	I felt fear when I had to present in front of other people	I felt fear when I had to present in front of other people	The person felt fear when they had to present in front of other people.
fear	3467	I felt fear the first time someone tried to teach me how to drive.	I felt fear the first time someone tried to teach me how to drive.	The person felt fear the first time someone tried to teach them how to drive.
fear	3468	When I fell off a horse and got a concussion	I felt fear when I fell off a horse and got a concussion	The person felt fear when they fell off a horse and got a concussion.
fear	3469	I was running away from a shooting and a car was trying to run me down	I felt fear when I was running away from a shooting and a car was trying to run me down	The person felt fear when they were running away from a shooting and a car was trying to run them down
fear	3470	I felt fear when I walked into my mothers hospital as she was dying	I felt fear when I walked into my mothers hospital as she was dying	The person felt fear when they walked into their mother's hospital as she was dying.
fear	3471	I was biking and a car came out and I had to slam my breaks almost flipping over the handlebars straight into the cars path	I felt fear when I was biking and a car came out and I had to slam my breaks almost flipping over the handlebars straight into the cars path	The person felt fear when they were biking and a car came out, and they had to slam on their brakes, almost flipping over the handlebars straight into the car's path.
fear	3472	i faced my fears and went to canadas wonderland, went on the biggest rollerccoasters in canada because im tired of letting my anxiety control my life! i was so scared but i did it!	I felt fear when i faced my fears and went to canadas wonderland, went on the biggest rollerccoasters in canada because im tired of letting my anxiety control my life! i was so scared but i did it!	The person felt fear when they faced their fears and went to Canada's Wonderland, went on the biggest rollercoasters in Canada because they were tired of letting their anxiety control their life! They were so scared but they did it!
fear	3473	I was assaulted by a man I had just met.	I felt fear when I was assaulted by a man I had just met.	The person felt fear when they were assaulted by a man they had just met.
fear	3474	I felt fear when I was in a public place during the coronavirus pandemic	I felt fear when I was in a public place during the coronavirus pandemic	The person felt fear when they were in a public place during the coronavirus pandemic
fear	3358	I was mugged a couple of years ago	I felt fear when I was mugged a couple of years ago	The person felt fear when they were mugged a couple of years ago
fear	3359	my mom fell off our hot tub while drunk	I felt fear when my mom fell off our hot tub while drunk	The person felt fear when their mom fell off their hot tub while drunk.
fear	3360	Waiting in line for a roller coaster	I felt fear when waiting in line for a roller coaster	The person felt fear when waiting in line for a roller coaster.
fear	3361	I was sat in a bus in Peru with three friends, having left our luggage back at a hostel, so simply carrying one bag full of items to go hiking. This bus was quite small and I felt incredibly sick, the roads were winding throughout the mountains. Feeling sick always produces a feeling of fear, but this was heightened by the fact we were high up in the mountains, driving along cliff edges with no barrier, every so often being met with cross along the road where busses had fallen off the edge and driving through literal waterfalls. I was genuinely terrified that I was going to die.	I felt fear when I was sat in a bus in Peru with three friends, having left our luggage back at a hostel, so simply carrying one bag full of items to go hiking. This bus was quite small and I felt incredibly sick, the roads were winding throughout the mountains. Feeling sick always produces a feeling of fear, but this was heightened by the fact we were high up in the mountains, driving along cliff edges with no barrier, every so often being met with cross along the road where busses had fallen off the edge and driving through literal waterfalls. I was genuinely terrified that I was going to die.	The person felt fear when they were sitting in a bus in Peru with three friends, having left their luggage back at a hostel, carrying only one bag full of items to go hiking. The bus was quite small, and they felt incredibly sick due to the winding roads throughout the mountains. Feeling sick always produced a feeling of fear, but this was heightened by the fact that they were high up in the mountains, driving along cliff edges with no barrier, occasionally being met with crosses along the road where buses had fallen off the edge, and driving through literal waterfalls. They were genuinely terrified that they were going to die.
fear	3363	I saw a spider	I felt fear when I saw a spider	The person felt fear when they saw a spider
fear	3364	I took a turn too suddenly when driving, and hit the curb on the far side of the road.	I felt fear when I took a turn too suddenly when driving, and hit the curb on the far side of the road.	The person felt fear when they took a turn too suddenly while driving and hit the curb on the far side of the road.
fear	3365	I was crossing the road last week and was nearly hit by a car. I walked around the bus after I got on and didnt look around as I didnt think about it and heard brakes loudly screech and realised I wakled in front of a car.	I felt fear when I was crossing the road last week and was nearly hit by a car. I walked around the bus after I got on and didnt look around as I didnt think about it and heard brakes loudly screech and realised I wakled in front of a car.	The person felt fear when they were crossing the road last week and were nearly hit by a car. They walked around the bus after getting on and didn't look around, as they didn't think about it, and heard brakes loudly screech and realised they had walked in front of a car.
fear	3366	i thought my dog may not survive his operation	I felt fear when i thought my dog may not survive his operation	The person felt fear when they thought their dog may not survive his operation.
fear	3370	when I was almost run over by a drunk driver	I felt fear when I was almost run over by a drunk driver	The person felt fear when they were almost run over by a drunk driver
fear	3371	When my mum used to come home drunk with a bloke at 3am after leaving me home alone all night	I felt fear when my mum used to come home drunk with a bloke at 3am after leaving me home alone all night	The person felt fear when their mum used to come home drunk with a bloke at 3am after leaving them home alone all night.
fear	3372	I walked past a group of men alone in a secluded area (I am a female)	I felt fear when I walked past a group of men alone in a secluded area (I am a female)	The person felt fear when she walked past a group of men alone in a secluded area, as a female.
fear	3373	my mom fell down the stairs.	I felt fear when my mom fell down the stairs.	The person felt fear when their mom fell down the stairs.
fear	3374	Two of my siblings contracted covid.	I felt fear when two of my siblings contracted covid.	The person felt fear when two of their siblings contracted covid.
fear	3376	I was swimming in the ocean and approached by a black fin shark	I felt fear when I was swimming in the ocean and approached by a black fin shark	The person felt fear when they were swimming in the ocean and approached by a black fin shark
