emotion	text_id	generated_text	first_person_text	third_person_text
guilt	282	I left my two children with their Dad while I went away for a weekend with my friends	I felt guilt when I left my two children with their Dad while I went away for a weekend with my friends	The person felt guilt when they left their two children with their Dad while they went away for a weekend with their friends.
guilt	283	I was at a small event at a university with my friends and I thought it would be funny to try to steal a few drinks from behind the bar. I got caught and obviously had to return the drinks. I still feel horrible about it as I would never do such a thing now. Even then I felt ashamed.	I felt guilt when I was at a small event at a university with my friends and I thought it would be funny to try to steal a few drinks from behind the bar. I got caught and obviously had to return the drinks. I still feel horrible about it as I would never do such a thing now. Even then I felt ashamed.	The person feels guilty about an incident at a university event with friends where they tried to steal drinks from behind the bar, got caught, and had to return them, and still feels horrible about it as it was out of character for them, even at the time.
guilt	285	I bailed on going to recent events planned by my friends	I felt guilt when I bailed on going to recent events planned by my friends	The person felt guilt when they bailed on going to recent events planned by their friends
guilt	286	I did something I was asked not to.	I felt guilt when I did something I was asked not to.	The person felt guilt when they did something they were asked not to.
guilt	278	I was unkind to a friend	I felt guilt when I was unkind to a friend	The person felt guilt when they were unkind to a friend.
guilt	279	When I lied to my friend saying I was busy when I wasn’t busy	I felt guilt when I lied to my friend saying I was busy when I wasn’t busy	The person felt guilt when they lied to their friend, saying they were busy when they weren’t.
guilt	280	I didn't spend more time with my Dad.	I felt guilt when I didn't spend more time with my Dad.	The person felt guilt when they didn't spend more time with their Dad.
guilt	281	I went out on a night out and got quite drunk, The co-worker I was out with (alongside others) was the boyfriend of one of my friends. We both were having a great time and ended up kissing. The next morning was horrible and I ended up booking a hotel and staying away for the weekend because I felt so bad and didn't want to be around the local area.	I felt guilt when I went out on a night out and got quite drunk, The co-worker I was out with (alongside others) was the boyfriend of one of my friends. We both were having a great time and ended up kissing. The next morning was horrible and I ended up booking a hotel and staying away for the weekend because I felt so bad and didn't want to be around the local area.	The person felt guilt when they went out on a night out and got quite drunk. The co-worker they were out with, who was the boyfriend of one of their friends, was also having a great time, and they ended up kissing. The next morning was horrible, and they ended up booking a hotel and staying away for the weekend because they felt so bad and didn't want to be around the local area.
guilt	3504	I split a drink on my girlfriend's laptop and broke it	I felt guilt when I split a drink on my girlfriend's laptop and broke it	The person felt guilt when they split a drink on their girlfriend's laptop and broke it.
guilt	3505	I cheated on a math test that I barely passed in high school	I felt guilt when I cheated on a math test that I barely passed in high school	The person felt guilt when they cheated on a math test that they barely passed in high school
guilt	3506	I sexted someone	I felt guilt when I sexted someone	The person felt guilt when they sexted someone
guilt	3507	I put very little effort into a fake card which I intended to give as a joke and replace. The recipient was very pleased, and it looked almost exactly like the card my little sister made, and worked very hard on.	I felt guilt when I put very little effort into a fake card which I intended to give as a joke and replace. The recipient was very pleased, and it looked almost exactly like the card my little sister made, and worked very hard on.	The person felt guilt when they put very little effort into a fake card, which they intended to give as a joke and replace. The recipient was very pleased, and it looked almost exactly like the card their little sister made, and worked very hard on.
guilt	3508	I felt guilt when I strongly and openly resisted caring for my emotionally abusive mother in an emotionally and physically abusive environment.	I felt guilt when I strongly and openly resisted caring for my emotionally abusive mother in an emotionally and physically abusive environment.	The person felt guilt when they strongly and openly resisted caring for their emotionally abusive mother in an emotionally and physically abusive environment.
guilt	3509	I said no to hanging out with a friend I hadn't seen in a while when I should have said yes.  I was too lazy to meet them.	I felt guilt when I said no to hanging out with a friend I hadn't seen in a while when I should have said yes.  I was too lazy to meet them.	The person felt guilt when they said no to hanging out with a friend they hadn't seen in a while when they should have said yes, because they were too lazy to meet them.
