emotion	text_id	generated_text	first_person_text	third_person_text
joy	2101	I was standing on top of a trailer at a music festival with a great friend. We had just been given free bags of beef jerky and one of my favourite songs was played as the sun was setting.	I felt joy when I was standing on top of a trailer at a music festival with a great friend. We had just been given free bags of beef jerky and one of my favourite songs was played as the sun was setting.	The person felt joy when they were standing on top of a trailer at a music festival with a great friend. They had just been given free bags of beef jerky and one of their favourite songs was played as the sun was setting.
joy	2102	I finished my national exam for licensing as a registered physiotherapist	I felt joy when I finished my national exam for licensing as a registered physiotherapist	The person felt joy when they finished their national exam for licensing as a registered physiotherapist
joy	2103	I felt JOY because I had climbed a tree during a windy day. I sat in the tree and felt it swaying, and heard the leaves rustling, and heard the wheat field beside the tree making beautiful sounds as well.	I felt JOY because I had climbed a tree during a windy day. I sat in the tree and felt it swaying, and heard the leaves rustling, and heard the wheat field beside the tree making beautiful sounds as well.	The person felt JOY because they had climbed a tree during a windy day. They sat in the tree and felt it swaying, and heard the leaves rustling, and heard the wheat field beside the tree making beautiful sounds as well.
joy	2104	I spent time with a friend after a long time apart.	I felt joy when I spent time with a friend after a long time apart.	The person felt joy when they spent time with a friend after a long time apart.
joy	2105	I felt joy when I passed my exams.	I felt joy when I passed my exams.	The person felt joy when they passed their exams.
joy	287	I felt joy the last time I was at a concert of my favourite band, watching the band walk out on stage felt magical and hearing all my favourite songs live was bliss	I felt joy the last time I was at a concert of my favourite band, watching the band walk out on stage felt magical and hearing all my favourite songs live was bliss	The person felt joy the last time they were at a concert of their favourite band, watching the band walk out on stage felt magical and hearing all their favourite songs live was bliss.
joy	289	I was gifted a large amount of money	I felt joy when I was gifted a large amount of money	The person felt joy when they were gifted a large amount of money
joy	290	I Won €20 on a scratch card	I felt joy when I Won €20 on a scratch card	The person felt joy when they won €20 on a scratch card
joy	291	I got offered a vaccine.	I felt joy when I got offered a vaccine.	The person felt joy when they got offered a vaccine.
joy	292	I bought an oculus rift and tried it for the first time, it was a great new experience	I felt joy when I bought an oculus rift and tried it for the first time, it was a great new experience	The person felt joy when they bought an Oculus Rift and tried it for the first time; it was a great new experience.
joy	293	My first child was born.	I felt joy when my first child was born.	The person felt joy when their first child was born.
joy	294	Finding out that I passed my final masters exams with a first (distinction)	I felt joy when finding out that I passed my final masters exams with a first (distinction)	The person felt joy when finding out that they passed their final master's exams with a first (distinction).
joy	295	When we adopted out new kitten	I felt joy when we adopted out new kitten	The person felt joy when they adopted their new kitten.
joy	296	I received a First in my Second Year University results.	I felt joy when I received a First in my Second Year University results.	The person felt joy when they received a First in their Second Year University results.
joy	297	I recently asked my girlfriend of 4 months on our first official date together	I felt joy when I recently asked my girlfriend of 4 months on our first official date together	The person felt joy when they recently asked their girlfriend of 4 months on their first official date together.
joy	298	my husband and I went on our first vacation without the children!	I felt joy when my husband and I went on our first vacation without the children!	The person felt joy when her husband and she went on their first vacation without the children!
joy	299	My dog runs to the car when I come home from work	I felt joy when my dog runs to the car when I come home from work	The person feels joy when their dog runs to the car when they come home from work.
joy	2100	i felt joy when i got engaged.	i felt joy when i got engaged.	The person felt joy when they got engaged.
joy	3623	I got married	I felt joy when I got married	The person felt joy when they got married
joy	3624	My marriage made me feel joy. I married some years ago to my friend and confidant who I love and cherish so much. We are so find of each other and the day we started making wedding plans, I was filled with extreme joy and excitement. The wedding day was indeed a memorable day for me because my parents were present to make the day very exciting and fulfilling.	I felt joy when my marriage made me feel joy. I married some years ago to my friend and confidant who I love and cherish so much. We are so find of each other and the day we started making wedding plans, I was filled with extreme joy and excitement. The wedding day was indeed a memorable day for me because my parents were present to make the day very exciting and fulfilling.	The person feels joy when their marriage makes them feel joy. They married their friend and confidant, whom they love and cherish, some years ago. They are very fond of each other, and when they started making wedding plans, they were filled with extreme joy and excitement. The wedding day was indeed a memorable day for them because their parents were present, making the day very exciting and fulfilling.
joy	3625	I was in the car on the way to school quite a few years back, and I was remembering a time that I made my crush laugh. I was just looking out the window as I always did and randomly remembered and felt joy. I was also happy anticipating seeing them when I got to school.	I felt joy when I was in the car on the way to school quite a few years back, and I was remembering a time that I made my crush laugh. I was just looking out the window as I always did and randomly remembered and felt joy. I was also happy anticipating seeing them when I got to school.	The person felt joy when they were in the car on the way to school quite a few years back, remembering a time they made their crush laugh. They were just looking out the window as they always did and randomly remembered, feeling joy. They were also happy anticipating seeing them when they got to school.
joy	3626	I was approached by manager and told I was doing well in my job and got a significant raise	I felt joy when I was approached by manager and told I was doing well in my job and got a significant raise	The person felt joy when they were approached by their manager and told they were doing well in their job and got a significant raise.
joy	3627	I was accepted into my first university choice	I felt joy when I was accepted into my first university choice	The person felt joy when they were accepted into their first university choice
joy	3628	I felt joy when I received my university degree in the mail (because of COVID we did not have a graduation ceremony). My four years of hard work paid off.	I felt joy when I received my university degree in the mail (because of COVID we did not have a graduation ceremony). My four years of hard work paid off.	The person felt joy when they received their university degree in the mail (because of COVID, they did not have a graduation ceremony). Their four years of hard work paid off.
joy	3629	I went on my holiday to Copenhagen.	I felt joy when I went on my holiday to Copenhagen.	The person felt joy when they went on their holiday to Copenhagen.
joy	3630	I graduated school	I felt joy when I graduated school	The person felt joy when they graduated from school.
joy	3631	"I felt joy when the preacher said, ""you may now kiss your bride"" at my wedding."	"I felt joy when the preacher said, ""you may now kiss your bride"" at my wedding."	"The person felt joy when the preacher said, ""you may now kiss your bride"" at their wedding."
joy	3632	visited the Italian mountains for the first time.	I felt joy when visited the Italian mountains for the first time.	The person felt joy when they visited the Italian mountains for the first time.
joy	3633	I got a job I really wanted.	I felt joy when I got a job I really wanted.	The person felt joy when they got a job they really wanted.
joy	3634	I finished my coding bootcamp	I felt joy when I finished my coding bootcamp	The person felt joy when they finished their coding bootcamp.
joy	3635	I walked up to the woods with an old friend and we reconnected while spending time in nature, we had interesting and emotional conversations and saw a deer!	I felt joy when I walked up to the woods with an old friend and we reconnected while spending time in nature, we had interesting and emotional conversations and saw a deer!	The person felt joy when they walked up to the woods with an old friend and reconnected while spending time in nature, having interesting and emotional conversations and seeing a deer.
joy	3636	when I gave birth	I felt joy when I gave birth	The person felt joy when she gave birth.
joy	3637	I finish a long hike because I have a feeling of accomplishment	I felt joy when I finish a long hike because I have a feeling of accomplishment	The person feels joy when they finish a long hike because they have a feeling of accomplishment.
joy	3639	I went to Los Angeles	I felt joy when I went to Los Angeles	The person felt joy when they went to Los Angeles
joy	3640	When my wife gave birth to our first child, I became more happy when I found out that it was a baby boy.	I felt joy when my wife gave birth to our first child, I became more happy when I found out that it was a baby boy.	The person felt joy when his wife gave birth to their first child, and he became even happier when he found out that it was a baby boy.
joy	3641	i recently got  a new job	I felt joy when i recently got  a new job	The person felt joy when they recently got a new job.
joy	3643	My family came home from abroad for the summer, I met them at the airport.	I felt joy when my family came home from abroad for the summer, I met them at the airport.	The person felt joy when their family came home from abroad for the summer, and they met them at the airport.
joy	3644	when I was at a Harry Styles concert	I felt joy when I was at a Harry Styles concert	The person felt joy when they were at a Harry Styles concert
joy	3645	I felt joy when I found out I was accepted into graduate school because I was scared that I was not going to make it in and that I was going to have to wait another year to re-apply.	I felt joy when I found out I was accepted into graduate school because I was scared that I was not going to make it in and that I was going to have to wait another year to re-apply.	The person felt joy when they found out they were accepted into graduate school because they were scared that they were not going to make it in and that they were going to have to wait another year to re-apply.
joy	3646	I felt hoy when I went hiking in the mountains this year because it was a relaxing experience that was relatively cheap.	I felt joy when I felt hoy when I went hiking in the mountains this year because it was a relaxing experience that was relatively cheap.	The person felt joy when they went hiking in the mountains this year because it was a relaxing experience that was relatively cheap.
joy	3647	When I was on Vacation, outside in nature exploring the mountains.	I felt joy when I was on Vacation, outside in nature exploring the mountains.	The person felt joy when they were on vacation, outside in nature, exploring the mountains.
joy	3648	My friend who hadn't seen in over a year during the pandemic came to visit.	I felt joy when my friend who hadn't seen in over a year during the pandemic came to visit.	The person felt joy when their friend, who hadn't been seen in over a year during the pandemic, came to visit.
joy	3649	when I completed my first 10k race	I felt joy when I completed my first 10k race	The person felt joy when they completed their first 10k race
joy	3650	I gave birth to my son, and I heard him squeak because he came out not breathing, and had to be resuscitated by CPAP.	I felt joy when I gave birth to my son, and I heard him squeak because he came out not breathing, and had to be resuscitated by CPAP.	The person felt joy when she gave birth to her son, and she heard him squeak because he came out not breathing, and had to be resuscitated by CPAP.
joy	3651	I finished work because I knew I could come home and put my feet up	I felt joy when I finished work because I knew I could come home and put my feet up	The person felt joy when they finished work because they knew they could come home and put their feet up.
joy	3653	My team Rangers scored a great goal versus our rivals. It was a very important match in which we won. I felt overjoyed for several hours after the final whistle.	I felt joy when my team Rangers scored a great goal versus our rivals. It was a very important match in which we won. I felt overjoyed for several hours after the final whistle.	The person felt joy when their team, the Rangers, scored a great goal versus their rivals. It was a very important match in which they won. They felt overjoyed for several hours after the final whistle.
joy	3535	I began teaching piano lessons. My first class was three sisters, ages 8, 6, and 5, and they were delightful and so much fun. I've been a traditional English teacher for many years, but being able to teach something I love so much (like music) has changed my entire outlook, and it always brings me joy.	I felt joy when I began teaching piano lessons. My first class was three sisters, ages 8, 6, and 5, and they were delightful and so much fun. I've been a traditional English teacher for many years, but being able to teach something I love so much (like music) has changed my entire outlook, and it always brings me joy.	The person felt joy when they began teaching piano lessons. Their first class was three sisters, ages 8, 6, and 5, and they were delightful and so much fun. They had been a traditional English teacher for many years, but being able to teach something they loved so much (like music) had changed their entire outlook, and it always brought them joy.
joy	3536	I bought a stock that doubled in price within days	I felt joy when I bought a stock that doubled in price within days	The person felt joy when they bought a stock that doubled in price within days
joy	3537	I bought a new car.	I felt joy when I bought a new car.	The person felt joy when they bought a new car.
joy	3538	I got approved for my first apartment.	I felt joy when I got approved for my first apartment.	The person felt joy when they got approved for their first apartment.
joy	3539	I felt joy when I received the acceptance letter to my dream university	I felt joy when I received the acceptance letter to my dream university	The person felt joy when they received the acceptance letter to their dream university
joy	3540	when it was birthday this year and we had a zoom call with all of my family, because I hadn't seen them for a long time because of Covid, and it was lovely to see all their faces, and talk to them, and knowing that there were there because of me. Jaw would hurt from smiling so much.	I felt joy when it was birthday this year and we had a zoom call with all of my family, because I hadn't seen them for a long time because of Covid, and it was lovely to see all their faces, and talk to them, and knowing that there were there because of me. Jaw would hurt from smiling so much.	The person felt joy when it was their birthday this year and they had a Zoom call with all of their family, because they hadn't seen them for a long time due to Covid, and it was lovely to see all their faces, talk to them, and know that they were there because of them. Their jaw would hurt from smiling so much.
joy	3541	I felt joy when I found a new waterfall on a hiking trail that I had never seen before.	I felt joy when I found a new waterfall on a hiking trail that I had never seen before.	The person felt joy when they found a new waterfall on a hiking trail that they had never seen before.
joy	3542	I felt JOY when I met my kitten Mochi for the first time. I had contacted breeders for months looking for a British Shorthair kitten. I was invited to a breeder's home to visit a kitten, and felt immense joy when I first saw him and picked him up. This feeling was intensified due to the long wait and anticipation that led to the moment.	I felt JOY when I met my kitten Mochi for the first time. I had contacted breeders for months looking for a British Shorthair kitten. I was invited to a breeder's home to visit a kitten, and felt immense joy when I first saw him and picked him up. This feeling was intensified due to the long wait and anticipation that led to the moment.	The person felt joy when they met their kitten Mochi for the first time. They had contacted breeders for months looking for a British Shorthair kitten. They were invited to a breeder's home to visit a kitten, and felt immense joy when they first saw him and picked him up. This feeling was intensified due to the long wait and anticipation that led to the moment.
joy	3543	at the births of my children.	I felt joy when at the births of my children.	The person felt joy when their children were born.
joy	3544	I felt joy when I saw my dog's face in the window waiting for me to enter the house.	I felt joy when I saw my dog's face in the window waiting for me to enter the house.	The person felt joy when they saw their dog's face in the window waiting for them to enter the house.
joy	3545	I got a new puppy	I felt joy when I got a new puppy	The person felt joy when they got a new puppy
joy	3546	I was accepted to Villanova University	I felt joy when I was accepted to Villanova University	The person felt joy when they were accepted to Villanova University
joy	3548	I felt joy when I solved my maths question with no help all by myself. It was a difficult one and I always feel happy when I do one myself.	I felt joy when I solved my maths question with no help all by myself. It was a difficult one and I always feel happy when I do one myself.	The person felt joy when they solved their maths question with no help all by themselves. It was a difficult one and they always feel happy when they do one themselves.
joy	3549	my child was born/because my draining 9 months of pregnancy was finally over and my baby was finally in my arms after waiting for so long	I felt joy when my child was born/because my draining 9 months of pregnancy was finally over and my baby was finally in my arms after waiting for so long	The person felt joy when their child was born because their draining 9 months of pregnancy was finally over and their baby was finally in their arms after waiting for so long.
joy	3550	I was playing with my niece and nephews outside.	I felt joy when I was playing with my niece and nephews outside.	The person felt joy when they were playing with their niece and nephews outside.
joy	3552	I went to dinner with one of my friends.	I felt joy when I went to dinner with one of my friends.	The person felt joy when they went to dinner with one of their friends.
joy	3553	When I travelled for fun, leisure to museums, zoo, parks.	I felt joy when I travelled for fun, leisure to museums, zoo, parks.	The person felt joy when they travelled for fun and leisure to museums, the zoo, and parks.
joy	3554	I received a message from a friend about a job opportunity which we would be able to work at together	I felt joy when I received a message from a friend about a job opportunity which we would be able to work at together	The person felt joy when they received a message from a friend about a job opportunity that they would be able to work at together.
joy	3555	my two daughters reconciled after being strangled for 3 years.	I felt joy when my two daughters reconciled after being strangled for 3 years.	The person felt joy when their two daughters reconciled after being estranged for 3 years.
joy	3556	my first child was born.	I felt joy when my first child was born.	The person felt joy when their first child was born.
joy	3557	i felt joy when i heard about your return	i felt joy when i heard about your return	The person felt joy when they heard about your return.
joy	3559	I felt joy when I revived a text message from my girlfriend.	I felt joy when I revived a text message from my girlfriend.	The person felt joy when they received a text message from their girlfriend.
joy	3565	I felt joy when my long distance boyfriend called me and told me he was coming to visit because I miss him.	I felt joy when my long distance boyfriend called me and told me he was coming to visit because I miss him.	The person felt joy when her long distance boyfriend called her and told her he was coming to visit because she missed him.
joy	3566	joy when i win money	I felt joy when joy when i win money	The person felt joy when they won money.
joy	3567	My child was born	I felt joy when my child was born	The person felt joy when their child was born.
joy	3569	I got with my partner	I felt joy when I got with my partner	The person felt joy when they got together with their partner.
joy	3570	I accepted Christ as my savior	I felt joy when I accepted Christ as my savior	The person felt joy when they accepted Christ as their savior
joy	3571	I am out with my friends, as I enjoy their company and am able to be myself around them.	I felt joy when I am out with my friends, as I enjoy their company and am able to be myself around them.	The person feels joy when they are out with their friends, as they enjoy their company and are able to be themselves around them.
joy	3572	I purchased my first home.	I felt joy when I purchased my first home.	The person felt joy when they purchased their first home.
joy	3573	I was told “I love you” by a special person	I felt joy when I was told “I love you” by a special person	The person felt joy when they were told “I love you” by a special person.
joy	3575	I got my results for my Undergraduate Degree. I had really put my all into my work for it after a really tough couple of years (both of my parents dying). This was my first and only year where I felt as if I had grown up and when I got a first class honours degree (in a subject I truly believed I was awful in) it really gave me joy.	I felt joy when I got my results for my Undergraduate Degree. I had really put my all into my work for it after a really tough couple of years (both of my parents dying). This was my first and only year where I felt as if I had grown up and when I got a first class honours degree (in a subject I truly believed I was awful in) it really gave me joy.	The person felt joy when they got their results for their Undergraduate Degree. They had really put their all into their work for it after a really tough couple of years (both of their parents dying). This was their first and only year where they felt as if they had grown up, and when they got a first-class honours degree (in a subject they truly believed they were awful in), it really gave them joy.
joy	3576	my fiancé proposed	I felt joy when my fiancé proposed	The person felt joy when their fiancé proposed.
joy	3577	I felt joy the first time I tried weed (specifically Delta 8, which is legal in my area.)	I felt joy the first time I tried weed (specifically Delta 8, which is legal in my area.)	The person felt joy the first time they tried weed (specifically Delta 8, which is legal in their area.)
joy	3578	I felt joy when I saw my son take his first steps across the living room all by himself.	I felt joy when I saw my son take his first steps across the living room all by himself.	The person felt joy when they saw their son take his first steps across the living room all by himself.
joy	3579	I went skydiving.	I felt joy when I went skydiving.	The person felt joy when they went skydiving.
joy	3580	i felt joy when she gave birth	i felt joy when she gave birth	The person felt joy when she gave birth.
joy	3581	I felt joy when my husband (then boyfriend) asked me to marry him.	I felt joy when my husband (then boyfriend) asked me to marry him.	The person felt joy when her husband (then boyfriend) asked her to marry him.
joy	3582	The day I got married	I felt joy when the day I got married	The person felt joy on the day they got married.
