emotion	text_id	generated_text	first_person_text	third_person_text
pride	2140	I see my kids reach their goals, improve skills	I felt pride when I see my kids reach their goals, improve skills	The person feels pride when they see their kids reach their goals and improve their skills.
pride	2141	i won a national award for the hard work i put in as a volunteer	I felt pride when i won a national award for the hard work i put in as a volunteer	The person felt pride when they won a national award for the hard work they put in as a volunteer.
pride	2142	I gave birth to healthy twins	I felt pride when I gave birth to healthy twins	The person felt pride when she gave birth to healthy twins
pride	2143	I baked a delicious strawberry cobbler.	I felt pride when I baked a delicious strawberry cobbler.	The person felt pride when they baked a delicious strawberry cobbler.
pride	2125	I won two gold medals at the world kickboxing championships.	I felt pride when I won two gold medals at the world kickboxing championships.	The person felt pride when they won two gold medals at the world kickboxing championships.
pride	2126	I won a retail business case competition with a few friends at my University despite thinking we wouldn't stand a chance. Some large companies came to the school looking for students to solve their problems. Our team made it through to the final round despite my fear of doing presentations. When we won I felt immense pride. We didn't even expect to make it through the first round and we beat out some very professional teams.	I felt pride when I won a retail business case competition with a few friends at my University despite thinking we wouldn't stand a chance. Some large companies came to the school looking for students to solve their problems. Our team made it through to the final round despite my fear of doing presentations. When we won I felt immense pride. We didn't even expect to make it through the first round and we beat out some very professional teams.	The person felt pride when they won a retail business case competition with a few friends at their university, despite thinking they wouldn't stand a chance. Some large companies came to the school looking for students to solve their problems. Their team made it through to the final round despite their fear of doing presentations. When they won, they felt immense pride. They didn't even expect to make it through the first round and they beat out some very professional teams.
pride	2127	I completed a mixed-media collage art piece and entered it into an auction. I love how the piece turned out, and I ended up making $25 CAD on it!	I felt pride when I completed a mixed-media collage art piece and entered it into an auction. I love how the piece turned out, and I ended up making $25 CAD on it!	The person felt pride when they completed a mixed-media collage art piece and entered it into an auction. They loved how the piece turned out, and they ended up making $25 CAD on it!
pride	2128	when I told my parents about my evaluation of clinical performance on placement as I achieved credit with distinction (indicating very high performance)	I felt pride when I told my parents about my evaluation of clinical performance on placement as I achieved credit with distinction (indicating very high performance)	The person felt pride when they told their parents about their evaluation of clinical performance on placement, having achieved credit with distinction, indicating very high performance.
pride	2129	pride in baking a cake for my father and he liked it.	I felt pride when pride in baking a cake for my father and he liked it.	The person felt pride when they baked a cake for their father and he liked it.
pride	2130	I passed my driving test	I felt pride when I passed my driving test	The person felt pride when they passed their driving test.
pride	2131	I won a creative writing class competition, after thinking my story hadn't made the grade as it hadn't been mentioned once by the tutor...until she announced the winner.	I felt pride when I won a creative writing class competition, after thinking my story hadn't made the grade as it hadn't been mentioned once by the tutor...until she announced the winner.	The person felt pride when they won a creative writing class competition, after thinking their story hadn't made the grade as it hadn't been mentioned once by the tutor...until she announced the winner.
pride	2132	I finished an embroidery piece as a gift for my brother-in-law	I felt pride when I finished an embroidery piece as a gift for my brother-in-law	The person felt pride when they finished an embroidery piece as a gift for their brother-in-law.
pride	2133	I asked a guest speaker a question at a lecture	I felt pride when I asked a guest speaker a question at a lecture	The person felt pride when they asked a guest speaker a question at a lecture.
pride	2134	My partner was accepted for a job because she worked really hard to get it	I felt pride when my partner was accepted for a job because she worked really hard to get it	The person felt pride when their partner was accepted for a job because they had worked really hard to get it.
pride	2135	I submitted my Masters thesis	I felt pride when I submitted my Masters thesis	The person felt pride when they submitted their Masters thesis
pride	2136	I graduated from University with a Masters Degree	I felt pride when I graduated from University with a Masters Degree	The person felt pride when they graduated from University with a Masters Degree
pride	2137	I saw the new house my dad had and it was really beautiful and I was proud	I felt pride when I saw the new house my dad had and it was really beautiful and I was proud	The person felt pride when they saw the new house their dad had, which was really beautiful, and they were proud.
pride	2138	I bowled two people out during the final over of my cricket game to win the final.	I felt pride when I bowled two people out during the final over of my cricket game to win the final.	The person felt pride when they bowled two people out during the final over of their cricket game to win the final.
pride	2139	when i received my degree results and got a 2:1.	I felt pride when i received my degree results and got a 2:1.	The person felt pride when they received their degree results and got a 2:1.
pride	3860	because I get to answer emails at work and I'm good at it, and better at it than others. I answer lots of emails and always have people who are happy for my help. I've had to correct/help coworkers before and it makes me feel pride to know more than them.	I felt pride because I get to answer emails at work and I'm good at it, and better at it than others. I answer lots of emails and always have people who are happy for my help. I've had to correct/help coworkers before and it makes me feel pride to know more than them.	The person feels pride when they get to answer emails at work and are good at it, even better than others. They answer lots of emails and always have people who are happy for their help. They've had to correct or help coworkers before, and it makes them feel proud to know more than them.
pride	3862	Earning my driving license.	I felt pride when earning my driving license.	The person felt pride when earning their driving license.
pride	3863	I felt pride when someone that I did not know personally bought an art piece I created	I felt pride when someone that I did not know personally bought an art piece I created	The person felt pride when someone they did not know personally bought an art piece they created.
pride	3864	my niece came out to me and told me she had a girlfriend before she told anyone else.	I felt pride when my niece came out to me and told me she had a girlfriend before she told anyone else.	The person felt pride when their niece came out to them and told them she had a girlfriend before she told anyone else.
