emotion	text_id	generated_text	first_person_text	third_person_text
relief	2159	I thought I had made a major mistake at work only to find I had not	I felt relief when I thought I had made a major mistake at work only to find I had not	The person felt relief when they thought they had made a major mistake at work only to find they had not.
relief	2160	My partner came home after a night in the hopital	I felt relief when my partner came home after a night in the hopital	The person felt relief when their partner came home after a night in the hospital.
relief	2161	I passed my Irish language test	I felt relief when I passed my Irish language test	The person felt relief when they passed their Irish language test.
relief	2144	Finding out my degree classification	I felt relief when finding out my degree classification	The person felt relief when finding out their degree classification.
relief	2145	I completed my degree and found out I got a 1st Class Degree overall.	I felt relief when I completed my degree and found out I got a 1st Class Degree overall.	The person felt relief when they completed their degree and found out they got a 1st Class Degree overall.
relief	2146	when I finished my last clinical placement of my master's degree	I felt relief when I finished my last clinical placement of my master's degree	The person felt relief when they finished their last clinical placement of their master's degree
relief	2147	I finally left a job that was bringing me down	I felt relief when I finally left a job that was bringing me down	The person felt relief when they finally left a job that was bringing them down.
relief	2149	when my daughter recovered from a bad seizure in hospital	I felt relief when my daughter recovered from a bad seizure in hospital	The person felt relief when their daughter recovered from a bad seizure in hospital.
relief	2150	I got the correct ferry	I felt relief when I got the correct ferry	The person felt relief when they got the correct ferry
relief	2151	When I got my dream job	I felt relief when I got my dream job	The person felt relief when they got their dream job.
relief	2152	A young man who I witnessed jump into a river was not badly injured	I felt relief when a young man who I witnessed jump into a river was not badly injured	The person felt relief when the young man who they witnessed jump into a river was not badly injured.
relief	2153	relief was felt when i eventually passed my driving test as i didnt need to continue practicing and spending all my money	I felt relief when relief was felt when i eventually passed my driving test as i didnt need to continue practicing and spending all my money	The person felt relief when they eventually passed their driving test, as they didn't need to continue practicing and spending all their money.
relief	2154	When I didn't have to go to a event.	I felt relief when I didn't have to go to a event.	The person felt relief when they didn't have to go to the event.
relief	2155	when I passed my driving test	I felt relief when I passed my driving test	The person felt relief when they passed their driving test.
relief	2156	i HAVE FINISHED at the end of term	I felt relief when i HAVE FINISHED at the end of term	The person felt relief when they had finished at the end of term.
relief	2157	I found out I didn't love my credit card	I felt relief when I found out I didn't love my credit card	The person felt relief when they found out they didn't love their credit card.
relief	2158	I had my first vaccine, as I have a fear of needles but it was not as bad as I thought it would be.	I felt relief when I had my first vaccine, as I have a fear of needles but it was not as bad as I thought it would be.	The person felt relief when they had their first vaccine, as they have a fear of needles but it was not as bad as they thought it would be.
relief	3976	I felt relief when my best friend called me after being MIA for a week.	I felt relief when my best friend called me after being MIA for a week.	The person felt relief when their best friend called them after being MIA for a week.
relief	3977	I finished the end of my contracted work and was going to be out of work AND also not have any government support. But I was able to reapply for government support and when I got the email that it had been accepted, and that I also had a concession card again, it was relieving. I still need to find more work, but I won't be completely hopeless.	I felt relief when I finished the end of my contracted work and was going to be out of work AND also not have any government support. But I was able to reapply for government support and when I got the email that it had been accepted, and that I also had a concession card again, it was relieving. I still need to find more work, but I won't be completely hopeless.	The person feels relief when they finished the end of their contracted work and were going to be out of work and also not have any government support. But they were able to reapply for government support and when they got the email that it had been accepted, and that they also had a concession card again, it was relieving. They still need to find more work, but they won't be completely hopeless.
relief	3978	When I went to a beach it was such a wonderful feeling	I felt relief when I went to a beach it was such a wonderful feeling	The person felt relief when they went to the beach; it was such a wonderful feeling.
relief	3979	I got my a-level results	I felt relief when I got my a-level results	The person felt relief when they got their A-level results.
relief	3980	when I quit my last job	I felt relief when I quit my last job	The person felt relief when they quit their last job
relief	3981	I finally found my bank card	I felt relief when I finally found my bank card	The person felt relief when they finally found their bank card
relief	3982	I found out I had legal help	I felt relief when I found out I had legal help	The person felt relief when they found out they had legal help.
relief	3983	when I got a professional massage because I felt like I could finally relax and did not have to worry about anything.	I felt relief when I got a professional massage because I felt like I could finally relax and did not have to worry about anything.	The person felt relief when they got a professional massage because they felt like they could finally relax and did not have to worry about anything.
relief	3984	my coworker said she would keep my information private	I felt relief when my coworker said she would keep my information private	The person felt relief when their coworker said she would keep their information private.
relief	3985	I felt relief when I told my partner I was non-binary, and they accepted me for who I am with open arms.	I felt relief when I told my partner I was non-binary, and they accepted me for who I am with open arms.	The person felt relief when they told their partner they were non-binary, and their partner accepted them for who they were with open arms.
relief	3986	I got my first flat	I felt relief when I got my first flat	The person felt relief when they got their first flat.
relief	3987	I felt relief when I decided to drop out of my college program. I had been struggling mentally and every time I asked a professor for help they just told me to read the instructions or figure it out myself, and I felt a giant weight lift off my shoulders when I finally dropped out.	I felt relief when I decided to drop out of my college program. I had been struggling mentally and every time I asked a professor for help they just told me to read the instructions or figure it out myself, and I felt a giant weight lift off my shoulders when I finally dropped out.	The person felt relief when they decided to drop out of their college program. They had been struggling mentally and every time they asked a professor for help, they were told to read the instructions or figure it out themselves, and they felt a giant weight lift off their shoulders when they finally dropped out.
relief	3988	I felt relief when I had to go to hospital because I was in severe pain with kidney stones, the pain was so bad that I had to have an injection of morphine which provided relief within a few minutes from the pain.	I felt relief when I had to go to hospital because I was in severe pain with kidney stones, the pain was so bad that I had to have an injection of morphine which provided relief within a few minutes from the pain.	The person felt relief when they had to go to the hospital because they were in severe pain with kidney stones, the pain was so bad that they had to have an injection of morphine which provided relief within a few minutes from the pain.
relief	3991	I felt relief when I managed to complete a work task that I had been putting off.	I felt relief when I managed to complete a work task that I had been putting off.	The person felt relief when they managed to complete a work task that they had been putting off.
relief	3992	I felt relief when I found out that I was accepted to the universities of my choice.	I felt relief when I found out that I was accepted to the universities of my choice.	The person felt relief when they found out that they were accepted to the universities of their choice.
relief	3993	We successfully purchased our house.	I felt relief when we successfully purchased our house.	The person felt relief when they successfully purchased their house.
relief	3994	i felt relief sometime ago when i was trading on a forex account and i forgot to add my sto ploss to control my risk and i slept off. i woke up to see that the trade went in my favor later .	i felt relief sometime ago when i was trading on a forex account and i forgot to add my sto ploss to control my risk and i slept off. i woke up to see that the trade went in my favor later .	The person felt relief sometime ago when they were trading on a forex account and forgot to add their stop-loss to control their risk, and then slept off; they woke up to see that the trade had gone in their favor later.
relief	3995	I felt relief when i was told I had been misdiagnosed and that my health was mostly fine	I felt relief when i was told I had been misdiagnosed and that my health was mostly fine	The person felt relief when they were told they had been misdiagnosed and that their health was mostly fine.
relief	3997	a tornado came within a couple blocks of my house, but fortunately went past me.	I felt relief when a tornado came within a couple blocks of my house, but fortunately went past me.	The person felt relief when a tornado came within a couple blocks of their house, but fortunately went past them.
relief	3998	I didn't have to go to my senior year graduation.	I felt relief when I didn't have to go to my senior year graduation.	The person felt relief when they didn't have to go to their senior year graduation.
relief	3999	The same day I broke my arm, I had surgery to secure it with a plate.  It was performed very late after a very unpleasant day and finished just after midnight.  One of the most relieving experiences I've ever had was waking up on the gurney with an arm that no longer had two halves of a bone jousting with each other.  I was wheeled back to my room and had my first proper sleep since about 4am the previous day.	I felt relief when the same day I broke my arm, I had surgery to secure it with a plate.  It was performed very late after a very unpleasant day and finished just after midnight.  One of the most relieving experiences I've ever had was waking up on the gurney with an arm that no longer had two halves of a bone jousting with each other.  I was wheeled back to my room and had my first proper sleep since about 4am the previous day.	The person felt relief when, on the same day they broke their arm, they had surgery to secure it with a plate. The surgery was performed very late after a very unpleasant day and finished just after midnight. One of the most relieving experiences they've ever had was waking up on the gurney with an arm that no longer had two halves of a bone jousting with each other. They were wheeled back to their room and had their first proper sleep since about 4am the previous day.
relief	31000	I felt relief when I got my period once because I was afraid I was pregnant.	I felt relief when I got my period once because I was afraid I was pregnant.	The person felt relief when they got their period once because they were afraid they were pregnant.
relief	31001	I made the decision to retire from work as I had no control over ome events that were causing me great deal of stress and anxiety. Relief because work was one less stressful situation to deal with	I felt relief when I made the decision to retire from work as I had no control over ome events that were causing me great deal of stress and anxiety. Relief because work was one less stressful situation to deal with	The person felt relief when they made the decision to retire from work, as they had no control over some events that were causing them a great deal of stress and anxiety. The relief was due to work being one less stressful situation to deal with.
relief	31002	the event I went to went well and smoothly and I got home safely.	I felt relief when the event I went to went well and smoothly and I got home safely.	The person felt relief when the event they attended went well and smoothly and they got home safely.
relief	31003	I rewrote an examination and i passed.	I felt relief when I rewrote an examination and i passed.	The person felt relief when they rewrote an examination and passed.
relief	3888	when I submitted an assessment less than an hour before the due date. I guess it was relieving because up until that point I'd be very stressed, and relief is a very sudden release of that stress knowing that everything is going to be okay. I don't like that I stress over assessments and grades and leave things til last minute, but I always do, it's always relieving to submit something that I wasn't enjoying doing.	I felt relief when I submitted an assessment less than an hour before the due date. I guess it was relieving because up until that point I'd be very stressed, and relief is a very sudden release of that stress knowing that everything is going to be okay. I don't like that I stress over assessments and grades and leave things til last minute, but I always do, it's always relieving to submit something that I wasn't enjoying doing.	The person feels relief when they submit an assessment less than an hour before the due date. They guess it is relieving because up until that point they were very stressed, and relief is a very sudden release of that stress knowing that everything is going to be okay. They don't like that they stress over assessments and grades and leave things until the last minute, but they always do, and it's always relieving to submit something they weren't enjoying doing.
relief	3889	I graduated college with my bachelor's degree.	I felt relief when I graduated college with my bachelor's degree.	The person felt relief when they graduated college with their bachelor's degree.
relief	3890	I felt relief the time that I thought my dad had seriously injured himself while cutting down a dead tree branch. Turns out, the design on his shirt was a red splatter pattern-not blood seeping through from the chest area.	I felt relief the time that I thought my dad had seriously injured himself while cutting down a dead tree branch. Turns out, the design on his shirt was a red splatter pattern-not blood seeping through from the chest area.	The person felt relief when they thought their dad had seriously injured himself while cutting down a dead tree branch. It turned out that the design on his shirt was a red splatter pattern, not blood seeping through from the chest area.
relief	3891	I felt relief when I knew that I could sleep in and take a break after completing my masters program. I had been working so hard consistently for so long without much of a break, so knowing that after I finished my program I could do the things I wanted to do freely on my own time was very relieving.	I felt relief when I knew that I could sleep in and take a break after completing my masters program. I had been working so hard consistently for so long without much of a break, so knowing that after I finished my program I could do the things I wanted to do freely on my own time was very relieving.	The person felt relief when they knew that they could sleep in and take a break after completing their master's program. They had been working so hard consistently for so long without much of a break, so knowing that after they finished their program they could do the things they wanted to do freely on their own time was very relieving.
relief	3892	My brother tested negative for Covid	I felt relief when my brother tested negative for Covid	The person felt relief when their brother tested negative for Covid.
relief	3893	I got on the plane to come back to the USA from Kuwait to be with my family.	I felt relief when I got on the plane to come back to the USA from Kuwait to be with my family.	The person felt relief when they got on the plane to come back to the USA from Kuwait to be with their family.
relief	3895	my mother told me her biopsy result was negative	I felt relief when my mother told me her biopsy result was negative	The person felt relief when their mother told them her biopsy result was negative.
relief	3896	I spoke to my family about my poor mental health and that I had failed my uni degree because of it and they understood. It felt like a weight had been lifted after being able to talk about my struggles and being able to talk with them about it	I felt relief when I spoke to my family about my poor mental health and that I had failed my uni degree because of it and they understood. It felt like a weight had been lifted after being able to talk about my struggles and being able to talk with them about it	The person felt relief when they spoke to their family about their poor mental health and failing their university degree because of it, and they understood. It felt like a weight had been lifted after being able to talk about their struggles and discuss them with their family.
relief	3897	I got the all clear from a health test	I felt relief when I got the all clear from a health test	The person felt relief when they got the all clear from a health test.
relief	3898	I finished a HIIT workout because it was seriously tiring and I came close to passing out. So when it ended I was relieved that it was all over.	I felt relief when I finished a HIIT workout because it was seriously tiring and I came close to passing out. So when it ended I was relieved that it was all over.	The person felt relief when they finished a HIIT workout because it was seriously tiring and they came close to passing out, so when it ended they were relieved that it was all over.
relief	3899	I finished my maths work minutes before a cutoff deadline	I felt relief when I finished my maths work minutes before a cutoff deadline	The person felt relief when they finished their maths work minutes before a cutoff deadline
relief	3900	When I passed my most recent exam in order to continue to qualify for my professional qualification	I felt relief when I passed my most recent exam in order to continue to qualify for my professional qualification	The person felt relief when they passed their most recent exam in order to continue to qualify for their professional qualification.
relief	3902	I dropped my toxic friends	I felt relief when I dropped my toxic friends	The person felt relief when they dropped their toxic friends.
relief	3903	my cat was very sick and I thought she was going to die, but I took her to the vet and they treated her and she got better	I felt relief when my cat was very sick and I thought she was going to die, but I took her to the vet and they treated her and she got better	The person felt relief when their cat was very sick and they thought she was going to die, but they took her to the vet and they treated her and she got better.
relief	3904	I got my hardest exam back and I got an A	I felt relief when I got my hardest exam back and I got an A	The person felt relief when they got their hardest exam back and got an A.
relief	3905	I was able to relax and work on artistic endeavors	I felt relief when I was able to relax and work on artistic endeavors	The person felt relief when they were able to relax and work on artistic endeavors
relief	3906	I felt relief when I was working as a lifeguard and a boy began to drown and he was given CPR and then began breathing on his own again and was safe and alive.	I felt relief when I was working as a lifeguard and a boy began to drown and he was given CPR and then began breathing on his own again and was safe and alive.	The person felt relief when, as a lifeguard, they witnessed a boy who was drowning being given CPR, and then began breathing on his own again, ultimately becoming safe and alive.
relief	3910	a family relative was diagnosed with MS but was later proven it was wrong diagnosis	I felt relief when a family relative was diagnosed with MS but was later proven it was wrong diagnosis	The person felt relief when a family relative was diagnosed with MS, but was later proven to be a wrong diagnosis.
relief	3911	i felt relief when i heard you are alright	i felt relief when i heard you are alright	The person felt relief when they heard they were alright.
relief	3912	I felt relief when after my brother hit my car and I thought that my car was broken but when we took it to the mechanic, it was all superficial damage and the mechanic didn't even charge us!	I felt relief when after my brother hit my car and I thought that my car was broken but when we took it to the mechanic, it was all superficial damage and the mechanic didn't even charge us!	The person felt relief when, after their brother hit their car and they thought it was broken, but when they took it to the mechanic, it was all superficial damage and the mechanic didn't even charge them!
relief	3913	I left hospital following a COVID-19 infection	I felt relief when I left hospital following a COVID-19 infection	The person felt relief when they left the hospital following a COVID-19 infection.
relief	3914	I felt relief when I graduated high school	I felt relief when I graduated high school	The person felt relief when they graduated high school
relief	3915	I felt relief when I was almost caught on a high dose of cannabis, but managed to avoid possible observers by hiding until I became sober.	I felt relief when I was almost caught on a high dose of cannabis, but managed to avoid possible observers by hiding until I became sober.	The person felt relief when they were almost caught on a high dose of cannabis, but managed to avoid possible observers by hiding until they became sober.
relief	3916	i felt RELIEF when i was done paying off a student loan.	i felt RELIEF when i was done paying off a student loan.	The person felt relief when they were done paying off a student loan.
relief	3918	the first time I had a sleepover with my boyfriend	I felt relief when the first time I had a sleepover with my boyfriend	The person felt relief when they had their first sleepover with their boyfriend.
relief	3919	I found out I wasnt pregnant after missing my period for 4 months	I felt relief when I found out I wasnt pregnant after missing my period for 4 months	The person felt relief when they found out they weren't pregnant after missing their period for 4 months.
relief	3920	When I found out I got accepted into college	I felt relief when I found out I got accepted into college	The person felt relief when they found out they got accepted into college.
relief	3922	i was finally diagnosed with depression and recieving help	I felt relief when i was finally diagnosed with depression and recieving help	The person felt relief when they were finally diagnosed with depression and received help.
relief	3923	I felt relief when I realized I was able to quit my job to pursue my education.	I felt relief when I realized I was able to quit my job to pursue my education.	The person felt relief when they realized they were able to quit their job to pursue their education.
relief	3924	I realized I wasn't a bad person	I felt relief when I realized I wasn't a bad person	The person felt relief when they realized they weren't a bad person
relief	3925	When I got off of probation.	I felt relief when I got off of probation.	The person felt relief when they got off of probation.
relief	3926	I got enough money to sort my bills	I felt relief when I got enough money to sort my bills	The person felt relief when they got enough money to sort their bills.
relief	3927	I was safe from the storm	I felt relief when I was safe from the storm	The person felt relief when they were safe from the storm.
relief	3928	I got a negative test for a disease that I thought I might have.	I felt relief when I got a negative test for a disease that I thought I might have.	The person felt relief when they got a negative test for a disease they thought they might have.
relief	3930	I had a sore throat, was tested for Covid-19, and it was negative.	I felt relief when I had a sore throat, was tested for Covid-19, and it was negative.	The person felt relief when they had a sore throat, were tested for Covid-19, and it was negative.
relief	3932	I signed the lease for the place i would stay in Vancouver.	I felt relief when I signed the lease for the place i would stay in Vancouver.	The person felt relief when they signed the lease for the place they would stay in Vancouver.
relief	3933	I completed a project at work that I had been working on for months.	I felt relief when I completed a project at work that I had been working on for months.	The person felt relief when they completed a project at work that they had been working on for months.
relief	3934	I found relief when I was able to keep my job during a worldwide pandemic	I felt relief when I found relief when I was able to keep my job during a worldwide pandemic	The person felt relief when they were able to keep their job during a worldwide pandemic.
relief	3935	I felt relief when I was finally able to enroll in classes for college after not being able to enroll in any of the ones I had picked out because they got filled quickly. I thought I was not going to be able to attend school that semester.	I felt relief when I was finally able to enroll in classes for college after not being able to enroll in any of the ones I had picked out because they got filled quickly. I thought I was not going to be able to attend school that semester.	The person felt relief when they were finally able to enroll in classes for college after not being able to enroll in any of the ones they had picked out because they got filled quickly. They thought they were not going to be able to attend school that semester.
relief	3936	I felt relief when I got into university	I felt relief when I got into university	The person felt relief when they got into university
relief	3937	When I found my dog	I felt relief when I found my dog	The person felt relief when they found their dog.
relief	3938	When I got accepted into collect, I'd worked so hard for so long and eventually my hard work had paid off	I felt relief when I got accepted into collect, I'd worked so hard for so long and eventually my hard work had paid off	The person felt relief when they got accepted into college, having worked so hard for so long and eventually their hard work had paid off.
relief	3939	My sister's doctor appointment went well.	I felt relief when my sister's doctor appointment went well.	The person felt relief when their sister's doctor appointment went well.
relief	3940	I was able to leave one job to start a new one	I felt relief when I was able to leave one job to start a new one	The person felt relief when they were able to leave one job to start a new one.
relief	3941	I felt relief when I was able to turn in a recycled (which is to say, plagiarized from my earlier essays, but rewritten and resourced in order to avoid detection) and was able to avoid being accused of plagiarism.	I felt relief when I was able to turn in a recycled (which is to say, plagiarized from my earlier essays, but rewritten and resourced in order to avoid detection) and was able to avoid being accused of plagiarism.	The person felt relief when they were able to turn in a recycled essay, which was plagiarized from their earlier work but rewritten and resourced to avoid detection, and avoided being accused of plagiarism.
relief	3942	I found my child	I felt relief when I found my child	The person felt relief when they found their child.
relief	3944	When I got a good. response on an article I wrote for work because I had been stressing out about it all week.	I felt relief when I got a good. response on an article I wrote for work because I had been stressing out about it all week.	The person felt relief when they got a good response on an article they wrote for work because they had been stressing out about it all week.
