emotion	text_id	generated_text	first_person_text	third_person_text
sadness	2176	My grandad was ill and passed away.	I felt sadness when my grandad was ill and passed away.	The person felt sadness when their grandad was ill and passed away.
sadness	2178	I found out my grandpa passed away	I felt sadness when I found out my grandpa passed away	The person felt sadness when they found out their grandpa had passed away.
sadness	2179	I had a miscarriage recently	I felt sadness when I had a miscarriage recently	The person felt sadness when they had a miscarriage recently.
sadness	2163	my dad was diagnosed with cancer and eventually passed away.	I felt sadness when my dad was diagnosed with cancer and eventually passed away.	The person felt sadness when their dad was diagnosed with cancer and eventually passed away.
sadness	2164	when my best friends child was killed in an accident	I felt sadness when my best friends child was killed in an accident	The person felt sadness when their best friend's child was killed in an accident.
sadness	2165	I felt SADNESS when my cat died. We were travelling home and my cat was laying at the side of the road with her tongue sticking out. My mum was screaming and I was crying. She had been my fluffy companion since I was born and it felt horrific when we lost her.	I felt SADNESS when my cat died. We were travelling home and my cat was laying at the side of the road with her tongue sticking out. My mum was screaming and I was crying. She had been my fluffy companion since I was born and it felt horrific when we lost her.	The person felt sadness when their cat died. They were travelling home and their cat was lying at the side of the road with her tongue sticking out. Their mum was screaming and they were crying. She had been their fluffy companion since they were born and it felt horrific when they lost her.
sadness	2166	when I had to say goodbye to a really good friend because I was flying across the country to visit family	I felt sadness when I had to say goodbye to a really good friend because I was flying across the country to visit family	The person felt sadness when they had to say goodbye to a really good friend because they were flying across the country to visit family.
sadness	2167	when my daughter was diagnosed with cancer	I felt sadness when my daughter was diagnosed with cancer	The person felt sadness when their daughter was diagnosed with cancer.
sadness	2168	I felt sad when arguing with a friend	I felt sadness when I felt sad when arguing with a friend	The person felt sadness when arguing with a friend.
sadness	2169	I felt sadness when my 18 year old son passed away.	I felt sadness when my 18 year old son passed away.	The person felt sadness when their 18-year-old son passed away.
sadness	2170	My cat of 16 years passed away last year	I felt sadness when my cat of 16 years passed away last year	The person felt sadness when their 16-year-old cat passed away last year.
sadness	2171	because I lost my grandpa last year and he was the closest person to me in my life.	I felt sadness because I lost my grandpa last year and he was the closest person to me in my life.	The person felt sadness because they had lost their grandpa last year, who was the closest person to them in their life.
