emotion	text_id	generated_text	first_person_text	third_person_text
shame	2184	I felt shame when I got my right/left directions mixed up in front of my new boyfriend's dad, and he made fun of me in front of my parents.	I felt shame when I got my right/left directions mixed up in front of my new boyfriend's dad, and he made fun of me in front of my parents.	The person felt shame when they got their right and left directions mixed up in front of their new boyfriend's dad, and he made fun of them in front of their parents.
shame	2185	I felt shame when I ate a lot of food because I was sad rather than hungry.	I felt shame when I ate a lot of food because I was sad rather than hungry.	The person felt shame when they ate a lot of food because they were sad rather than hungry.
shame	2186	I got a 2:2 on one of my essays	I felt shame when I got a 2:2 on one of my essays	The person felt shame when they got a 2:2 on one of their essays
shame	2187	One day as my sister and I were sharing a car, she decided she was not going to let me have it. She had done this many times before and was doing a horrible job of sharing and helping me get to work. I lost my temper in front of her and my mother. I was slamming doors and yelling. I have not thrown a fit like that ever since. I still feel ashamed I let my emotions get the best of me.	I felt shame when one day as my sister and I were sharing a car, she decided she was not going to let me have it. She had done this many times before and was doing a horrible job of sharing and helping me get to work. I lost my temper in front of her and my mother. I was slamming doors and yelling. I have not thrown a fit like that ever since. I still feel ashamed I let my emotions get the best of me.	The person feels shame when they recall the day they lost their temper in front of their sister and mother. Their sister had refused to share the car, which was a recurring problem, and they had a history of not sharing or helping them get to work. In the heat of the moment, they slammed doors and yelled. It was an outburst they had never experienced before or since. They still feel ashamed for letting their emotions get the better of them.
shame	2188	I fell down in front of a great number of people when giving a speech	I felt shame when I fell down in front of a great number of people when giving a speech	The person felt shame when they fell down in front of a great number of people while giving a speech.
shame	2180	when i failed my driving test	I felt shame when i failed my driving test	The person felt shame when they failed their driving test.
shame	2181	when i sent nude pictures	I felt shame when i sent nude pictures	The person felt shame when they sent nude pictures.
shame	2182	I was bullied badly and everyone made fun of me in a situation that made me feel shameful	I felt shame when I was bullied badly and everyone made fun of me in a situation that made me feel shameful	The person felt shame when they were bullied badly and everyone made fun of them in a situation that made them feel shameful.
shame	2183	I felt shame when my uncle found out that I was taking time out from my degree while I was pretending that I was still participating in it.	I felt shame when my uncle found out that I was taking time out from my degree while I was pretending that I was still participating in it.	The person felt shame when their uncle found out that they were taking time out from their degree while pretending to still be participating in it.
shame	31150	I felt shame when I got angry at my partner for drinking alcohol, but they were really exhausted from the heat and work.	I felt shame when I got angry at my partner for drinking alcohol, but they were really exhausted from the heat and work.	The person felt shame when they got angry at their partner for drinking alcohol, but their partner was really exhausted from the heat and work.
