emotion	text_id	generated_text	first_person_text	third_person_text
surprise	2205	I felt surprise when I did better than expected in my end of year exams at uni.	I felt surprise when I did better than expected in my end of year exams at uni.	The person felt surprise when they did better than expected in their end of year exams at uni.
surprise	2206	I felt surprise when Max Verstappen crashed out of the British GP last weekend.	I felt surprise when Max Verstappen crashed out of the British GP last weekend.	The person felt surprise when Max Verstappen crashed out of the British GP last weekend.
surprise	2207	i got AAB in my a levels/ i got into my university of choice	I felt surprise when i got AAB in my a levels/ i got into my university of choice	The person felt surprise when they got AAB in their A levels and got into their university of choice.
surprise	2208	When the father of my children proposed to me.	I felt surprise when the father of my children proposed to me.	The person felt surprise when the father of her children proposed to her.
surprise	2209	I had a call from my sister	I felt surprise when I had a call from my sister	The person felt surprise when they had a call from their sister.
surprise	2189	when I found out two of my best friends were dating	I felt surprise when I found out two of my best friends were dating	The person felt surprise when they found out two of their best friends were dating
surprise	2190	they announced international travel is allowed	I felt surprise when they announced international travel is allowed	The person felt surprise when they announced that international travel is allowed.
surprise	2191	the national licensing body for my profession made an announcement to change the format of the clinical exam to virtual after decades of it in person	I felt surprise when the national licensing body for my profession made an announcement to change the format of the clinical exam to virtual after decades of it in person	The person felt surprise when the national licensing body for their profession made an announcement to change the format of the clinical exam to virtual after decades of it being in person.
surprise	2192	"I walked into my girlfriend at the time's house with her and heard various noises coming from her living room. Nearly frozen with fear, I thought someone had broken in and was waiting for us. When she turned on the lights, almost all of my friends were waiting for me yelling ""surprise!"" It took me a few moments afterwards to calm down and catch my breath."	"I felt surprise when I walked into my girlfriend at the time's house with her and heard various noises coming from her living room. Nearly frozen with fear, I thought someone had broken in and was waiting for us. When she turned on the lights, almost all of my friends were waiting for me yelling ""surprise!"" It took me a few moments afterwards to calm down and catch my breath."	"The person was thinking about the time when they felt surprise when they walked into their girlfriend's house and heard various noises coming from the living room. Nearly frozen with fear, they thought someone had broken in and was waiting for them. When she turned on the lights, almost all of their friends were waiting for them, yelling ""surprise!"" It took them a few moments afterwards to calm down and catch their breath."
surprise	2193	i discovered a lost person item that i hid for myself years ago.	I felt surprise when i discovered a lost person item that i hid for myself years ago.	The person felt surprise when they discovered a lost personal item that they had hidden for themselves years ago.
surprise	2194	I felt suprised when my little sister chose me to read her story instead of my dad	I felt surprise when I felt suprised when my little sister chose me to read her story instead of my dad	The person felt surprise when their little sister chose them to read her story instead of their dad.
surprise	2195	I finished 13th out of 170 in my first half marathon. I didn't expect to do as well as I did.	I felt surprise when I finished 13th out of 170 in my first half marathon. I didn't expect to do as well as I did.	The person felt surprise when they finished 13th out of 170 in their first half marathon, not having expected to do as well as they did.
surprise	2196	my new car arrived on the drive	I felt surprise when my new car arrived on the drive	The person felt surprise when their new car arrived on the drive.
surprise	2198	England scored in the 2n minute of the Euros final	I felt surprise when england scored in the 2n minute of the Euros final	The person felt surprise when England scored in the 2nd minute of the Euros final.
surprise	2199	I realized I had manged to save and additional 1000 in my savings	I felt surprise when I realized I had manged to save and additional 1000 in my savings	The person felt surprise when they realized they had managed to save an additional 1000 in their savings.
surprise	2200	I won a public speaking competition because I didn't think my speech was the best one	I felt surprise when I won a public speaking competition because I didn't think my speech was the best one	The person felt surprise when they won a public speaking competition because they didn't think their speech was the best one.
surprise	2202	I found out my exam results	I felt surprise when I found out my exam results	The person felt surprise when they found out their exam results.
surprise	2203	a friend shared her news with me	I felt surprise when a friend shared her news with me	The person felt surprise when a friend shared her news with them.
surprise	2204	My boyfriend surprised me with a weekend trip to London. He isn't very romantic so it was amazing to be surprised with such an exciting trip. We went to watch a Rugby League final and had a fancy dinner.	I felt surprise when my boyfriend surprised me with a weekend trip to London. He isn't very romantic so it was amazing to be surprised with such an exciting trip. We went to watch a Rugby League final and had a fancy dinner.	The person felt surprise when her boyfriend surprised her with a weekend trip to London. He wasn't very romantic, so it was amazing to be surprised with such an exciting trip. They went to watch a Rugby League final and had a fancy dinner.
surprise	31272	I felt surprise when I qualified for Team Alberta as a competitive level 8 gymnast because I was not expecting my scores to be enough to qualify.	I felt surprise when I qualified for Team Alberta as a competitive level 8 gymnast because I was not expecting my scores to be enough to qualify.	The person felt surprise when they qualified for Team Alberta as a competitive level 8 gymnast because they were not expecting their scores to be enough to qualify.
surprise	31273	I felt surprised when my partner accused me of doing less household chores than him. I cook every night 7 days a week, and do some of the other chores and pay all the bills and worked a full time 60 hour a week job with him along with a second job. he just does some of the laundry and sweeps and does some of the dishes.	I felt surprised when my partner accused me of doing less household chores than him. I cook every night 7 days a week, and do some of the other chores and pay all the bills and worked a full time 60 hour a week job with him along with a second job. he just does some of the laundry and sweeps and does some of the dishes.	The person feels surprised when their partner accused them of doing less household chores than him, despite cooking every night, 7 days a week, doing some other chores, paying all the bills, working a full-time 60-hour a week job, and having a second job, while their partner only does some of the laundry, sweeps, and does some of the dishes.
surprise	31274	I felt SURPRISE when my friend kissed me.	I felt SURPRISE when my friend kissed me.	The person felt surprise when their friend kissed them.
surprise	31275	I felt surprised watching the Umbrella Academy, and when I saw that Vanya and Sissy kissed. I sort of barely saw it coming right before it happened, but it was still a shock, a good shock, and I had to stop the episode and just sit there like punching the air because it was awesome and I could barely believe it, then go back and rewatch it again to process properly.	I felt surprised watching the Umbrella Academy, and when I saw that Vanya and Sissy kissed. I sort of barely saw it coming right before it happened, but it was still a shock, a good shock, and I had to stop the episode and just sit there like punching the air because it was awesome and I could barely believe it, then go back and rewatch it again to process properly.	The person felt surprised while watching the Umbrella Academy, particularly when Vanya and Sissy kissed. They had barely seen it coming right before it happened, but it was still a shock, a good one, and they had to stop the episode and sit there, punching the air in excitement, because it was awesome and they could barely believe it, then go back and rewatch it again to process properly.
surprise	31277	when I got my first car for my birthday	I felt surprise when I got my first car for my birthday	The person felt surprise when they got their first car for their birthday.
surprise	31278	I felt surprise when one of my coworkers almost attacked me.	I felt surprise when one of my coworkers almost attacked me.	The person felt surprise when one of their coworkers almost attacked them.
surprise	31279	i found some money	I felt surprise when i found some money	The person felt surprise when they found some money.
surprise	31280	I felt surprised when I came home and my friend had flowers delivered for me.	I felt surprised when I came home and my friend had flowers delivered for me.	The person was surprised when they came home and their friend had flowers delivered for them.
