emotion	text_id	generated_text	first_person_text	third_person_text
trust	2228	Approaching a large jump on a horse, I trust the horse to safely get us over it.	I felt trust when approaching a large jump on a horse, I trust the horse to safely get us over it.	The person felt trust when approaching a large jump on a horse, trusting the horse to safely get them over it.
trust	2229	A girl told me what was bothering her	I felt trust when a girl told me what was bothering her	The person felt trust when a girl told him what was bothering her.
trust	2230	I felt trust when I got sick mysteriously and puked two days after moving away from home into a dorm, and going to the drop in clinic very very early in the morning and they looked after me even when I was stress-crying and freaked out from puking blood and being in a new place where I knew no one.	I felt trust when I got sick mysteriously and puked two days after moving away from home into a dorm, and going to the drop in clinic very very early in the morning and they looked after me even when I was stress-crying and freaked out from puking blood and being in a new place where I knew no one.	The person felt trust when they got sick mysteriously and vomited two days after moving away from home into a dorm, and went to the drop-in clinic very early in the morning, where they were looked after despite stress-crying and freaking out from vomiting blood and being in a new place where they knew no one.
trust	2231	My friend demonstrated authenticity in validating my feelings, and also vulnerability in sharing her thoughts with me.	I felt trust when my friend demonstrated authenticity in validating my feelings, and also vulnerability in sharing her thoughts with me.	The person felt trust when their friend demonstrated authenticity in validating their feelings and vulnerability in sharing her thoughts with them.
trust	2232	when my friends send farewell wishes to me when I finish my exchange	I felt trust when my friends send farewell wishes to me when I finish my exchange	The person felt trust when their friends sent farewell wishes to them when they finished their exchange.
trust	2210	I told my parents I was pregnant at the age of 16 and they told me they'd support me and help me with everything I need and always stay by me	I felt trust when I told my parents I was pregnant at the age of 16 and they told me they'd support me and help me with everything I need and always stay by me	The person felt trust when they told their parents they were pregnant at the age of 16 and their parents told them they'd support them and help them with everything they needed and always stay by their side.
trust	2211	I asked my partner to do a task for me	I felt trust when I asked my partner to do a task for me	The person felt trust when they asked their partner to do a task for them.
trust	2212	I felt trust when my cat sleeps by me	I felt trust when my cat sleeps by me	The person feels trust when their cat sleeps by them.
trust	2213	My manager asked me to take voluntary pay reduction due to COVID. He promised that my pay would return to normal after 3 months and that I would be rewarded for my sacrifice. I trusted him and it all worked out well.	I felt trust when my manager asked me to take voluntary pay reduction due to COVID. He promised that my pay would return to normal after 3 months and that I would be rewarded for my sacrifice. I trusted him and it all worked out well.	The person felt trust when their manager asked them to take a voluntary pay reduction due to COVID. Their manager promised that their pay would return to normal after 3 months and that they would be rewarded for their sacrifice. They trusted their manager and it all worked out well.
trust	2219	I felt trust when I asked my coworker to cover for me and they did.	I felt trust when I asked my coworker to cover for me and they did.	The person felt trust when they asked their coworker to cover for them and they did.
trust	2220	After convincing my son he would have a good time at bike camp, and shouldnt be nervous.	I felt trust when after convincing my son he would have a good time at bike camp, and shouldnt be nervous.	The person felt trust when, after convincing their son that he would have a good time at bike camp and shouldn't be nervous.
trust	2221	a partner saw me naked	I felt trust when a partner saw me naked	The person felt trust when their partner saw them naked.
trust	2222	My son who suffers anxiety listened to me & calmed down	I felt trust when my son who suffers anxiety listened to me & calmed down	The person felt trust when their son, who suffers from anxiety, listened to them and calmed down.
trust	2223	My friends let me take their children fishing	I felt trust when my friends let me take their children fishing	The person felt trust when their friends let them take their children fishing.
trust	2224	I knew I could rely on a friend on holiday as I have had previous bad experiences with holidays with friends	I felt trust when I knew I could rely on a friend on holiday as I have had previous bad experiences with holidays with friends	The person felt trust when they knew they could rely on a friend on holiday, as they had had previous bad experiences with holidays with friends.
trust	2225	I was able to tell my partner about an unwanted sexual experience I had when I was younger	I felt trust when I was able to tell my partner about an unwanted sexual experience I had when I was younger	The person felt trust when they were able to tell their partner about an unwanted sexual experience they had when they were younger
trust	2226	working with my financial advisor	I felt trust when working with my financial advisor	The person felt trust when working with their financial advisor.
trust	2227	because I know people understand me	I felt trust because I know people understand me	The person feels trust because they know people understand them.
trust	2214	someone sticks up for me, or does something for me	I felt trust when someone sticks up for me, or does something for me	The person feels trust when someone sticks up for them or does something for them.
trust	2215	I felt TRUST when my friends helped tidy my room whilst i was in hospital	I felt TRUST when my friends helped tidy my room whilst i was in hospital	The person felt trust when their friends helped tidy their room while they were in the hospital.
trust	2217	I felt trust when working on a team project and one of the team members went over and above to get our deliverables completed because the team member showed me that they have my back even if I was not able to contribute as much as I wanted to the project.	I felt trust when working on a team project and one of the team members went over and above to get our deliverables completed because the team member showed me that they have my back even if I was not able to contribute as much as I wanted to the project.	The person felt trust when working on a team project and one of the team members went over and above to get their deliverables completed because the team member showed them that they had their back even if they were not able to contribute as much as they wanted to the project.
trust	2218	I told my husband a secret.	I felt trust when I told my husband a secret.	The person felt trust when they told their husband a secret.
trust	31393	I felt trust when my partner told me about the harsh bullying the endured during grade school and how they are still dealing with the impacts of that bullying today, which affects their personal relationships and emotions.	I felt trust when my partner told me about the harsh bullying the endured during grade school and how they are still dealing with the impacts of that bullying today, which affects their personal relationships and emotions.	The person felt trust when their partner told them about the harsh bullying they endured during grade school and how they are still dealing with the impacts of that bullying today, which affects their personal relationships and emotions.
trust	31395	When I called my mum and dad earlier on the phone to talk about how bad I was feeling. I was sad, but after a bit I felt better, I felt safe or 'trust', because they love me, and I love them, and I can talk to them about a lot of stuff and know they'll always be there for me.	I felt trust when I called my mum and dad earlier on the phone to talk about how bad I was feeling. I was sad, but after a bit I felt better, I felt safe or 'trust', because they love me, and I love them, and I can talk to them about a lot of stuff and know they'll always be there for me.	The person felt trust when they called their mum and dad earlier on the phone to talk about how bad they were feeling. They were sad, but after a bit they felt better, they felt safe or 'trust', because they knew their parents loved them, and they loved them, and they could talk to them about a lot of stuff and know they would always be there for them.
trust	31396	when I rant/vent to my boyfriend	I felt trust when I rant/vent to my boyfriend	The person felt trust when they ranted/vented to their boyfriend.
trust	31397	A friend told my to place my trust in him that he would catch me if I fell	I felt trust when a friend told my to place my trust in him that he would catch me if I fell	The person felt trust when a friend told them to place their trust in him, saying he would catch them if they fell.
trust	31398	my friends had my back during a certain situation when I felt like they would turn their back on me. We had deferring opinions and I thought they wouldn't want to see me because of it.	I felt trust when my friends had my back during a certain situation when I felt like they would turn their back on me. We had deferring opinions and I thought they wouldn't want to see me because of it.	The person felt trust when their friends had their back during a certain situation when they felt like they would turn their back on them. They had differing opinions and thought their friends wouldn't want to see them because of it.
trust	31400	when my doctor assured me my surgery went well.	I felt trust when my doctor assured me my surgery went well.	The person felt trust when their doctor assured them their surgery went well.
trust	31401	I see my girl	I felt trust when I see my girl	The person felt trust when they saw their girl.
trust	31402	I felt trust when my girlfriend opened up to me about her sexual fetishes.	I felt trust when my girlfriend opened up to me about her sexual fetishes.	The person felt trust when his girlfriend opened up to him about her sexual fetishes.
trust	31403	when I broke up with my ex because I trusted my choice.	I felt trust when I broke up with my ex because I trusted my choice.	The person felt trust when they broke up with their ex because they trusted their choice.
trust	31404	my coworker shared personal experiences with me and connected with me on a personal level	I felt trust when my coworker shared personal experiences with me and connected with me on a personal level	The person felt trust when their coworker shared personal experiences with them and connected with them on a personal level.
trust	31405	My relatives brought furniture over and helped me move into my new place.	I felt trust when my relatives brought furniture over and helped me move into my new place.	The person felt trust when their relatives brought furniture over and helped them move into their new place.
trust	31406	i was trusted to look after my sisters savings	I felt trust when i was trusted to look after my sisters savings	The person felt trust when they were trusted to look after their sisters' savings.
trust	31407	I felt trust when I was at a bar downtown and my sober driver completely left me and my other friend stranded, and the first person I called picked up right away and came to pick us up no problem at all. I've never been more grateful and trusting in someone.	I felt trust when I was at a bar downtown and my sober driver completely left me and my other friend stranded, and the first person I called picked up right away and came to pick us up no problem at all. I've never been more grateful and trusting in someone.	The person felt trust when they were at a bar downtown and their sober driver completely left them and their other friend stranded, and the first person they called picked up right away and came to pick them up with no problem at all. They had never been more grateful and trusting in someone.
trust	31408	I told my boyfriend a secret and he didn't judge me	I felt trust when I told my boyfriend a secret and he didn't judge me	The person felt trust when they told their boyfriend a secret and he didn't judge them
trust	31410	"I felt trust when my boyfriend and said""I love you"" for the first time"	"I felt trust when my boyfriend and said""I love you"" for the first time"	"The person felt trust when her boyfriend said ""I love you"" for the first time."
trust	31411	my parents let me hold by baby siblings	I felt trust when my parents let me hold by baby siblings	The person felt trust when their parents let them hold their baby siblings.
trust	31412	When my friend and I had an argument but another person backed me up and shared facts about the quarrel	I felt trust when my friend and I had an argument but another person backed me up and shared facts about the quarrel	The person felt trust when their friend and they had an argument, but another person backed them up and shared facts about the quarrel.
trust	31413	I told my sister about a terrible situation i had found myself in	I felt trust when I told my sister about a terrible situation i had found myself in	The person felt trust when they told their sister about a terrible situation they had found themselves in.
trust	31414	I felt trust when I left my daughter at home alone for the first time.	I felt trust when I left my daughter at home alone for the first time.	The person felt trust when they left their daughter at home alone for the first time.
trust	31415	I was allowed to park my colleague's brand new car.I felt a sense oft rust from him as it was brand new	I felt trust when I was allowed to park my colleague's brand new car.I felt a sense oft rust from him as it was brand new	The person felt trust when they were allowed to park their colleague's brand new car. They sensed a sense of trust from him, as it was brand new.
trust	31416	I moved to Seattle with my boyfriend because he was consistently dependable.	I felt trust when I moved to Seattle with my boyfriend because he was consistently dependable.	The person felt trust when they moved to Seattle with their boyfriend because he was consistently dependable.
trust	31417	I felt trust when my parents returned back to my college to help me move in because I knew they'd always be there.	I felt trust when my parents returned back to my college to help me move in because I knew they'd always be there.	The person felt trust when their parents returned to their college to help them move in because they knew they'd always be there.
trust	31418	I had a baby scan	I felt trust when I had a baby scan	The person felt trust when they had a baby scan
trust	31419	i got stuck in a bin and my friend wheeled me home and now i trust him for life	I felt trust when i got stuck in a bin and my friend wheeled me home and now i trust him for life	The person feels that they will trust their friend for life because when they got stuck in a bin, their friend wheeled them home, which made them feel trust.
trust	31420	I felt trust the day a physician picked my husband up in the hospital, and gently lowered him down into his hospital bed. It was my husband’s first episode of his life threatening illness. He had been in hospital for months, had lost so much weight and was frail and weak. The physician needed my husband to stand for a blood pressure but he lost his strength. That’s when the physician lifted him up. To witness someone treat my husband so gently was very emotionally touching. I felt instant trust in this physician I had never before met. We asked him to be my husband’s specialist as an out patient and he agreed. He’s saved my husband’s life multiple times in the decade since.	I felt trust the day a physician picked my husband up in the hospital, and gently lowered him down into his hospital bed. It was my husband’s first episode of his life threatening illness. He had been in hospital for months, had lost so much weight and was frail and weak. The physician needed my husband to stand for a blood pressure but he lost his strength. That’s when the physician lifted him up. To witness someone treat my husband so gently was very emotionally touching. I felt instant trust in this physician I had never before met. We asked him to be my husband’s specialist as an out patient and he agreed. He’s saved my husband’s life multiple times in the decade since.	The person is thinking about the day a physician picked her husband up in the hospital and gently lowered him down into his hospital bed. It was her husband's first episode of his life-threatening illness. He had been in the hospital for months, had lost so much weight, and was frail and weak. The physician needed her husband to stand for a blood pressure check, but he lost his strength. That's when the physician lifted him up. To witness someone treat her husband so gently was very emotionally touching. The person felt instant trust in this physician she had never met before. They asked him to be her husband's specialist as an outpatient, and he agreed. He has saved her husband's life multiple times in the decade since.
trust	31421	I felt trust when the nurse, assisting in a procedure I was going under anesthesia for, made me laugh at a funny joke literally moments before I blacked out.	I felt trust when the nurse, assisting in a procedure I was going under anesthesia for, made me laugh at a funny joke literally moments before I blacked out.	The person felt trust when the nurse, assisting in a procedure they were going under anesthesia for, made them laugh at a funny joke literally moments before they blacked out.
trust	31423	I felt trust when my family member stepped forward to be my guarantor.	I felt trust when my family member stepped forward to be my guarantor.	The person felt trust when their family member stepped forward to be their guarantor.
trust	31302	I told a friend something personal about myself and she was very accepting.	I felt trust when I told a friend something personal about myself and she was very accepting.	The person felt trust when they told a friend something personal about themselves and she was very accepting.
trust	31303	Someone remained loyal	I felt trust when someone remained loyal	The person felt trust when someone remained loyal.
trust	31304	I felt TRUST when me and my partner opened up to each other for the first time	I felt TRUST when me and my partner opened up to each other for the first time	The person felt trust when they and their partner opened up to each other for the first time.
trust	31305	My friends came and picked me up from the airport	I felt trust when my friends came and picked me up from the airport	The person felt trust when their friends came and picked them up from the airport.
trust	31306	I felt TRUST when my girlfriend and I got high for the first time ever. The trust was specifically for her.	I felt TRUST when my girlfriend and I got high for the first time ever. The trust was specifically for her.	The person felt trust when their girlfriend and they got high for the first time ever, specifically towards her.
trust	31307	i felt trust when i gave my savings to a friend to look after after finding out my dad was taking money from me and after a year i got the money back without any missing	i felt trust when i gave my savings to a friend to look after after finding out my dad was taking money from me and after a year i got the money back without any missing	The person felt trust when they gave their savings to a friend to look after, after finding out their dad was taking money from them, and after a year, they got the money back without any missing.
trust	31309	I trusted my boyfriend to drive us to our holiday safely	I felt trust when I trusted my boyfriend to drive us to our holiday safely	The person felt trust when they trusted their boyfriend to drive them to their holiday safely.
trust	31310	I felt trust when I opened up about my feelings.	I felt trust when I opened up about my feelings.	The person felt trust when they opened up about their feelings.
trust	31311	my manager trusted me to run the shop while he was on holiday	I felt trust when my manager trusted me to run the shop while he was on holiday	The person felt trust when their manager trusted them to run the shop while he was on holiday.
trust	31312	The doctors delivers my baby safely	I felt trust when the doctors delivers my baby safely	The person felt trust when the doctors delivered her baby safely.
trust	31313	when my friend stayed with me during a hard time	I felt trust when my friend stayed with me during a hard time	The person felt trust when their friend stayed with them during a hard time.
trust	31314	I felt trust whenever customers come into the store, give me their water sample and trust everything I tell them and buy all of the products I suggest. when people actually trust me and believe that I'm not just selling them stuff to make money.	I felt trust whenever customers come into the store, give me their water sample and trust everything I tell them and buy all of the products I suggest. when people actually trust me and believe that I'm not just selling them stuff to make money.	The person feels trust whenever customers come into the store, give them their water sample, and trust everything they are told, buying all of the products suggested. When people actually trust them and believe that they are not just selling them stuff to make money.
trust	31316	I felt trust my roommate shared her location with the rest of us before going out	I felt trust my roommate shared her location with the rest of us before going out	The person felt that they could trust their roommate, who shared her location with the rest of them before going out.
trust	31317	I told a friend that I was having trouble with my relationship.	I felt trust when I told a friend that I was having trouble with my relationship.	The person felt trust when they told a friend that they were having trouble with their relationship.
trust	31318	I felt trust when I went on a trip North of my state without my parents and my friends who had done the trip before were looking after me the whole time.	I felt trust when I went on a trip North of my state without my parents and my friends who had done the trip before were looking after me the whole time.	The person felt trust when they went on a trip North of their state without their parents and their friends, who had done the trip before, were looking after them the whole time.
trust	31319	I let my assistant cover my class.	I felt trust when I let my assistant cover my class.	The person felt trust when they let their assistant cover their class.
trust	31320	I’m given a leadership	I felt trust when i’m given a leadership	The person feels trust when they are given a leadership role.
trust	31321	I felt trust when I went skydiving. I trusted in the equipment that was supporting me as well as the experienced skydivers who worked at the facility, and especially the one skydiver I was strapped to when jumping out of the plane.	I felt trust when I went skydiving. I trusted in the equipment that was supporting me as well as the experienced skydivers who worked at the facility, and especially the one skydiver I was strapped to when jumping out of the plane.	The person felt trust when they went skydiving. They trusted in the equipment that was supporting them as well as the experienced skydivers who worked at the facility, and especially the one skydiver they were strapped to when jumping out of the plane.
trust	31325	I felt trust when I was seeing my  doctor and discussing a particular issue.	I felt trust when I was seeing my  doctor and discussing a particular issue.	The person felt trust when they were seeing their doctor and discussing a particular issue.
trust	31326	i felt trust when i went out with my girlfriend and i left her alone in the park of a shopping mall . on getting back she told me how a man in a rolls royce phantom approached her and asked for her contact but she refused to give him because she was in a relationship. i was driving a prius then.	i felt trust when i went out with my girlfriend and i left her alone in the park of a shopping mall . on getting back she told me how a man in a rolls royce phantom approached her and asked for her contact but she refused to give him because she was in a relationship. i was driving a prius then.	The person felt trust when they went out with their girlfriend and left her alone in the park of a shopping mall. On getting back, she told him how a man in a Rolls Royce Phantom approached her and asked for her contact, but she refused to give it to him because she was in a relationship. At the time, the person was driving a Prius.
trust	31327	my friend stood up for me when I was have issues with another friend.	I felt trust when my friend stood up for me when I was have issues with another friend.	The person felt trust when their friend stood up for them when they had issues with another friend.
trust	31328	i was having a bad day and my partner decided to surprise me with a date, i didn’t know what was happening and was quite concerned that he was making me drive somewhere with him so late. before we drove out, he gave me a self care night with a bubble bath, massages and cuddles, he chose my outfit and took me to a 24 hour restaurant where he proposed. i felt trust that he would always make sure i felt happy and loved and safe with him, even on my worst days.	i was having a bad day and my partner decided to surprise me with a date, i didn’t know what was happening and was quite concerned that he was making me drive somewhere with him so late. before we drove out, he gave me a self care night with a bubble bath, massages and cuddles, he chose my outfit and took me to a 24 hour restaurant where he proposed. i felt trust that he would always make sure i felt happy and loved and safe with him, even on my worst days.	The person was having a bad day, and their partner decided to surprise them with a date. They didn't know what was happening and were quite concerned that their partner was making them drive somewhere so late. Before they drove out, their partner gave them a self-care night with a bubble bath, massages, and cuddles, choosing their outfit and taking them to a 24-hour restaurant where they proposed. The person felt trust that their partner would always make sure they felt happy and loved and safe with them, even on their worst days.
trust	31330	my friend and I were playing with her daughter in the park and my friend had to take a phone call so she trusted me to look after her daughter whilst she took the phone call away from us. I felt that she trusted me to watch her daughter and make sure that she didn't get hurt whilst playing.	I felt trust when my friend and I were playing with her daughter in the park and my friend had to take a phone call so she trusted me to look after her daughter whilst she took the phone call away from us. I felt that she trusted me to watch her daughter and make sure that she didn't get hurt whilst playing.	The person felt trust when their friend and they were playing with her daughter in the park and their friend had to take a phone call, so their friend trusted them to look after her daughter while they took the phone call away from them. They felt that their friend trusted them to watch her daughter and make sure she didn't get hurt while playing.
